p_val	avg_logFC	pct.1	pct.2	p_val_adj	cluster	gene
Peak-142601-1	1.39083104681665e-09	0.109963601279449	0.435	0.056	0.000464000708852689	Mast	Peak-142601-1
Peak-55892-1	1.39083104681665e-09	0.0655491852269653	0.435	0.056	0.000464000708852689	Mast	Peak-55892-1
Peak-131038-1	1.51576597406322e-09	0.0765277170405083	0.261	0.016	0.000505680749671129	Mast	Peak-131038-1
Peak-52765-1	1.52987246857741e-09	0.0652394187458701	0.435	0.052	0.000510386873731983	Mast	Peak-52765-1
Peak-59620-1	1.54351080594483e-09	0.060612765000741	0.435	0.056	0.00051493681401448	Mast	Peak-59620-1
Peak-88328-1	1.5627880358531e-09	0.0714095529426918	0.391	0.044	0.000521367967793098	Mast	Peak-88328-1
Peak-178650-1	1.57250600929621e-09	0.0552053660750273	0.304	0.024	0.000524610019785345	Mast	Peak-178650-1
Peak-25886-1	1.5983738210397e-09	0.0632051628985469	0.478	0.063	0.000533239883932338	Mast	Peak-25886-1
Peak-106163-1	1.97916863366844e-09	0.0536437609039431	0.304	0.024	0.000660278364552662	Mast	Peak-106163-1
Peak-124590-1	2.16907407034375e-09	0.0592490600425183	0.304	0.024	0.000723633476903659	Mast	Peak-124590-1
Peak-36522-7	2.19066477241744e-09	0.0566423853018227	0.391	0.044	0.000730836437385273	Mast	Peak-36522-7
Peak-74188-1	2.26359313576655e-09	0.0778023436822419	0.348	0.036	0.000755166360395623	Mast	Peak-74188-1
Peak-44388-1	2.30651224056607e-09	0.109439687351637	0.391	0.048	0.000769484774624209	Mast	Peak-44388-1
Peak-59093-1	2.5430644004154e-09	0.0533258992351718	0.391	0.044	0.000848401886880185	Mast	Peak-59093-1
Peak-52984-1	2.54993106203662e-09	0.051733110385391	0.261	0.016	0.000850692701330287	Mast	Peak-52984-1
Peak-8318-6	2.57288514149092e-09	0.08439663931237	0.391	0.048	0.000858350503593351	Mast	Peak-8318-6
Peak-147660-1	2.65829375570192e-09	0.0935306572474585	0.348	0.036	0.000886844013014742	Mast	Peak-147660-1
Peak-34957-3	2.65829375570192e-09	0.0562571061206736	0.348	0.036	0.000886844013014742	Mast	Peak-34957-3
Peak-16813-2	2.76064160607478e-09	0.103504298542678	0.739	0.171	0.000920988688769032	Mast	Peak-16813-2
Peak-105990-1	3.24674549768884e-09	0.0803837223383922	0.348	0.036	0.00108315975246596	Mast	Peak-105990-1
Peak-12397-2	3.62075607878328e-09	0.0763286361914875	0.652	0.143	0.00120793491846721	Mast	Peak-12397-2
Peak-14744-2	3.99229179725319e-09	0.100588414275988	0.522	0.087	0.00133188443564883	Mast	Peak-14744-2
Peak-31990-1	4.11662848539547e-09	0.0542544104918625	0.391	0.048	0.00137336489552672	Mast	Peak-31990-1
Peak-18907-1	4.48179742191152e-09	0.0826033559265906	0.522	0.087	0.00149519036511359	Mast	Peak-18907-1
Peak-64-11	4.75158781083248e-09	0.0603564632198238	0.391	0.048	0.00158519621592307	Mast	Peak-64-11
Peak-122339-1	5.10588119693713e-09	0.0825086341635986	0.435	0.06	0.00170339344963498	Mast	Peak-122339-1
Peak-207317-1	5.85927778320476e-09	0.0547727365350603	0.304	0.028	0.00195473709836607	Mast	Peak-207317-1
Peak-103394-1	5.87825763387579e-09	0.0570286890182014	0.348	0.036	0.00196106904226784	Mast	Peak-103394-1
Peak-139049-1	6.11349367299483e-09	0.0574942760651991	0.348	0.036	0.0020395470782225	Mast	Peak-139049-1
Peak-30083-1	6.21930309851845e-09	0.0582387270554783	0.174	0.004	0.00207484658390913	Mast	Peak-30083-1
Peak-22031-2	6.51375596040725e-09	0.105804728348207	0.435	0.063	0.0021730801809753	Mast	Peak-22031-2
Peak-19720-3	6.5483361626616e-09	0.0529378232421285	0.391	0.048	0.00218461662057019	Mast	Peak-19720-3
Peak-75401-2	6.61175107240777e-09	0.0545321666022638	0.348	0.036	0.00220577272227024	Mast	Peak-75401-2
Peak-46193-1	6.6650379549345e-09	0.0636260581413207	0.304	0.028	0.00222354997229752	Mast	Peak-46193-1
Peak-203324-1	6.6650379549345e-09	0.0534436929028437	0.304	0.028	0.00222354997229752	Mast	Peak-203324-1
