p_val	avg_logFC	pct.1	pct.2	p_val_adj	cluster	gene
RP11-87G24.3	1.65510959476881e-08	0.177810637560641	0.888	0.756	0.000403780536739798	Pre-B	RP11-87G24.3
CARD11	1.83043254234479e-08	0.266997555434552	0.972	0.923	0.000446552323030434	Pre-B	CARD11
RP1-153P14.7	2.07900548549206e-08	0.140862900234932	0.897	0.756	0.000507194178240643	Pre-B	RP1-153P14.7
MS4A1	2.2458904340534e-08	0.151150091706543	0.57	0.28	0.000547907430291666	Pre-B	MS4A1
LL22NC03-24A12.9	2.50047157376567e-08	0.0676612503353973	0.879	0.756	0.000610015045135873	Pre-B	LL22NC03-24A12.9
RNU6-1114P	2.77620302349246e-08	0.100220024266778	0.701	0.423	0.000677282489611219	Pre-B	RNU6-1114P
ADARB2	3.01600887293366e-08	0.296856163162043	0.953	0.893	0.000735785524640896	Pre-B	ADARB2
NRXN2	3.47671961427924e-08	0.225666733022918	1	0.988	0.000848180517099564	Pre-B	NRXN2
PSD2-AS1	3.59276265999094e-08	0.173407956969056	0.972	0.929	0.00087649037853139	Pre-B	PSD2-AS1
CALML6	3.90327266331825e-08	0.0586842029172678	0.542	0.214	0.000952242398943121	Pre-B	CALML6
RP11-463C8.4	4.18409289892204e-08	0.205320566594243	1	0.988	0.00102075130362102	Pre-B	RP11-463C8.4
C7orf50	4.85718662455089e-08	0.18649759053443	1	1	0.00118495924892543	Pre-B	C7orf50
LRRC43	5.473936423685e-08	0.178191099391127	0.804	0.506	0.00133542152992219	Pre-B	LRRC43
CTB-35F21.1	5.78387338175737e-08	0.25713998128178	1	0.988	0.00141103375021353	Pre-B	CTB-35F21.1
BCR	6.01462444724081e-08	0.386521779705036	0.972	0.994	0.00146732778014887	Pre-B	BCR
RP11-1129I3.1	6.99027728689134e-08	0.0810691155735248	0.327	0.071	0.00170534804691001	Pre-B	RP11-1129I3.1
URGCP	7.92645858319505e-08	0.133675401326089	0.776	0.583	0.00193373883595626	Pre-B	URGCP
RPS15AP32	9.16714007591779e-08	0.053636229192363	0.523	0.226	0.0022364154929209	Pre-B	RPS15AP32
ZCCHC7	1.08431815413075e-07	0.242616340561264	0.991	0.94	0.00264530256881737	Pre-B	ZCCHC7
ZHX2	1.18080826045387e-07	0.294545631619976	0.963	0.958	0.00288069983220327	Pre-B	ZHX2
IGLV4-3	1.20367745084283e-07	0.0540747491965994	0.907	0.827	0.00293649150907617	Pre-B	IGLV4-3
CLECL1	1.20554655575944e-07	0.139001108588788	0.822	0.577	0.00294105137743073	Pre-B	CLECL1
GDI2	1.51081637122031e-07	0.166329696445736	0.963	0.976	0.00368578761922906	Pre-B	GDI2
