cor_bin	Freq
[-1,-0.96]	0
(-0.96,-0.92]	0
(-0.92,-0.88]	0
(-0.88,-0.84]	0
(-0.84,-0.8]	0
(-0.8,-0.76]	0
(-0.76,-0.72]	0
(-0.72,-0.68]	0
(-0.68,-0.64]	0
(-0.64,-0.6]	0
(-0.6,-0.56]	0
(-0.56,-0.52]	0
(-0.52,-0.48]	0
(-0.48,-0.44]	2.26563634588201e-08
(-0.44,-0.4]	4.53127269176403e-08
(-0.4,-0.36]	2.26563634588201e-08
(-0.36,-0.32]	2.71876361505842e-07
(-0.32,-0.28]	9.74223628729266e-07
(-0.28,-0.24]	2.85470179581134e-06
(-0.24,-0.2]	1.50211689731977e-05
(-0.2,-0.16]	0.000136051462570215
(-0.16,-0.12]	0.00195771371011319
(-0.12,-0.08]	0.0209640917029905
(-0.08,-0.04]	0.110338279897167
(-0.04,0]	0.27318805166829
(0,0.04]	0.327226197281191
(0.04,0.08]	0.195584070854605
(0.08,0.12]	0.0597406616700323
(0.12,0.16]	0.00971976117474151
(0.16,0.2]	0.000957457919769739
(0.2,0.24]	0.000105623966445019
(0.24,0.28]	3.01329634002308e-05
(0.28,0.32]	1.43867907963508e-05
(0.32,0.36]	7.74847630291649e-06
(0.36,0.4]	4.01017633221116e-06
(0.4,0.44]	2.33360543625847e-06
(0.44,0.48]	1.29141271715275e-06
(0.48,0.52]	1.01953635564691e-06
(0.52,0.56]	6.11721813388144e-07
(0.56,0.6]	4.30470905717583e-07
(0.6,0.64]	2.71876361505842e-07
(0.64,0.68]	2.71876361505842e-07
(0.68,0.72]	2.03907271129381e-07
(0.72,0.76]	0
(0.76,0.8]	6.79690903764604e-08
(0.8,0.84]	4.53127269176403e-08
(0.84,0.88]	0
(0.88,0.92]	0
(0.92,0.96]	0
(0.96,1]	0
