orig.ident	nCount_ATAC	nFeature_ATAC	nCount_ACTIVITY	nFeature_ACTIVITY	tech	predicted.id	prediction.score.max
WT_1_10-2	WT	151847	18560	1.00000000000002	10205	atac	Fibro-ADAM28	0.597989128984557
WT_1_10-3	WT	150199	19389	0.999999999999939	10056	atac	Fibro-ADAM28	0.561201631454405
WT_1_10-4	WT	430967	35765	0.999999999999799	12987	atac	Fibro-NRK	0.491280285531826
WT_1_10-5	WT	256589	27280	0.999999999999776	11784	atac	CACNA1A-ELF3+	0.61616798667404
WT_1_10-6	WT	212284	23709	0.999999999999891	11048	atac	Fibro-PRSS35	0.319034815767387
WT_1_10-7	WT	193214	23812	1.00000000000005	11027	atac	Fibro-ADAM28	0.44037572729494
WT_1_10-8	WT	434185	35290	0.99999999999989	13074	atac	Endo	0.880274445646593
WT_1_11-1	WT	200055	21999	1	10968	atac	Fibro-ADAM28	0.301011356052384
WT_1_11-2	WT	165712	20721	0.999999999999887	10428	atac	T	0.564020783089169
WT_1_11-3	WT	239448	25312	1	11378	atac	Fibro-FBLN1	0.534102382679121
WT_1_11-4	WT	291445	28824	1.00000000000014	12261	atac	Fibro-ADAM28	0.488309240956915
WT_1_11-5	WT	173177	21748	1.00000000000009	10617	atac	Fibro-FBLN1	0.323516351466825
WT_1_11-6	WT	291998	29405	0.999999999999852	11953	atac	Epi	0.573642174274113
WT_1_11-7	WT	209572	25205	1.00000000000008	11032	atac	Fibro-ADAM28	0.331024021230178
WT_1_12-1	WT	362338	30425	0.999999999999801	12757	atac	Fibro-VSTM2A	0.436108200932715
WT_1_12-2	WT	210235	24412	1.00000000000009	11271	atac	Fibro-FBLN1	0.313627801844037
WT_1_12-3	WT	198937	22573	0.999999999999957	10848	atac	Fibro-FBLN1	0.271673935690399
WT_1_12-4	WT	238198	27067	1.00000000000008	11442	atac	Fibro-FBLN1	0.41036438205693
WT_1_12-5	WT	240113	25380	0.99999999999993	11679	atac	Fibro-VSTM2A	0.435023893096716
WT_1_12-6	WT	326744	32498	0.999999999999816	12689	atac	Fibro-FBLN1	0.596900056295049
WT_1_12-7	WT	454359	36277	0.999999999999971	13182	atac	Endo	0.872186019157255
WT_1_12-8	WT	511218	39908	1	13478	atac	Fibro-FBLN1	0.552030601011387
WT_2_1-1	WT	339737	31282	1.00000000000007	12552	atac	Fibro-FBLN1	0.5554993511143
WT_2_1-3	WT	257062	26454	1.00000000000014	11867	atac	Fibro-ADAM28	0.527132027930775
WT_2_1-4	WT	369240	34949	1.00000000000017	13020	atac	Epi	0.529600291386678
WT_2_1-5	WT	177741	20759	1.0000000000002	10506	atac	Fibro-ADAM28	0.509029503621966
WT_2_1-6	WT	291796	28087	1.00000000000012	12318	atac	T	0.931331048885305
WT_2_1-7	WT	303807	30562	0.999999999999838	12373	atac	Fibro-FBLN1	0.485546861820998
WT_2_1-8	WT	272378	27078	1.00000000000016	12115	atac	Fibro-FBLN1	0.451287022759044
WT_2_2-1	WT	276895	28019	0.999999999999965	12081	atac	SM-Visceral	0.312479398094176
WT_2_2-2	WT	172431	21801	0.999999999999911	10709	atac	Fibro-ADAM28	0.555229027585169
WT_2_2-3	WT	354445	33581	1.0000000000003	12678	atac	Epi	0.629412565881268
WT_2_2-4	WT	239107	24121	0.999999999999945	11387	atac	T	0.948855265845125
WT_2_2-6	WT	246468	25315	1.00000000000022	11629	atac	Fibro-FBLN1	0.586343786031515
WT_2_2-7	WT	300130	29391	0.999999999999997	12251	atac	Fibro-NRK	0.598305507694127
WT_2_2-8	WT	340593	33151	0.999999999999992	12929	atac	Epi	0.735282964639823
WT_2_3-1	WT	291271	30715	0.999999999999797	12097	atac	Fibro-FBLN1	0.49380626903345
WT_2_3-2	WT	235691	26008	1.0000000000002	11767	atac	Fibro-VSTM2A	0.522679385763681
WT_2_3-3	WT	191904	22178	0.999999999999984	10969	atac	Fibro-ADAM28	0.399142622321356
WT_2_3-4	WT	326911	31897	0.999999999999895	12761	atac	Epi	0.697544323564326
WT_2_3-5	WT	115811	16529	0.99999999999982	9329	atac	Fibro-ADAM28	0.326073461776665
WT_2_3-6	WT	275932	28541	0.999999999999778	12261	atac	Fibro-ADAM28	0.463962537258732
WT_2_3-7	WT	158836	20916	0.999999999999847	10521	atac	Fibro-ADAM28	0.522171572093218
WT_2_3-8	WT	153674	20138	0.999999999999957	10442	atac	Fibro-ADAM28	0.318827603042931
WT_2_4-1	WT	181497	22183	1.00000000000026	10767	atac	Fibro-ADAM28	0.331126146673851
WT_2_4-2	WT	291452	30152	0.999999999999875	12312	atac	Fibro-FBLN1	0.359480127185246
WT_2_4-3	WT	217282	21811	0.999999999999962	10745	atac	Fibro-ADAM28	0.370783097408885
WT_2_4-4	WT	152433	20149	1.00000000000001	10410	atac	Fibro-ADAM28	0.263958466291108
WT_2_4-5	WT	219015	23164	0.999999999999797	11627	atac	Fibro-VSTM2A	0.603766701848187
WT_2_4-6	WT	275771	28291	0.999999999999735	11924	atac	CACNA1A-ELF3+	0.534164979359609
WT_2_4-7	WT	156348	18540	0.999999999999999	10163	atac	Fibro-ADAM28	0.334611583953487
WT_2_4-8	WT	238150	25883	0.999999999999944	11617	atac	Fibro-NRK	0.345723455346002
WT_2_5-1	WT	260787	28138	1.00000000000002	11961	atac	Fibro-FBLN1	0.445452899236675
WT_2_5-2	WT	333396	32996	1	12757	atac	Epi	0.565118873197196
WT_2_5-3	WT	187386	21269	1.00000000000026	10937	atac	Fibro-VSTM2A	0.478425031545503
WT_2_5-4	WT	154498	20965	0.999999999999993	10258	atac	Epi	0.38300046122163
WT_2_5-5	WT	99329	14939	1.00000000000005	8813	atac	Fibro-IRF1	0.318389776121579
WT_2_5-6	WT	258954	26913	0.999999999999971	11937	atac	Fibro-ADAM28	0.537251599165772
WT_2_5-7	WT	204420	23531	1.00000000000005	11412	atac	Fibro-VSTM2A	0.470634947757975
WT_2_5-8	WT	274585	27354	1.00000000000024	12146	atac	Fibro-VSTM2A	0.424042815299923
WT_2_6-1	WT	276205	27344	1.00000000000004	12060	atac	Fibro-FBLN1	0.342610300413622
WT_2_6-2	WT	423560	35858	1.00000000000004	13165	atac	Endo	0.795560471941217
WT_2_6-3	WT	339482	31636	1.00000000000005	12428	atac	Fibro-NRK	0.347382293524072
WT_2_6-4	WT	271314	26056	1.00000000000016	11506	atac	Fibro-ADAM28	0.494257000889773
WT_2_6-5	WT	212592	24718	1.0000000000001	11313	atac	Fibro-FBLN1	0.476194781304564
WT_2_6-6	WT	325824	30312	0.999999999999842	12437	atac	Fibro-ADAM28	0.527718077360708
WT_2_6-7	WT	161245	20904	1.00000000000015	10479	atac	Fibro-FBLN1	0.463566564196513
WT_2_6-8	WT	356996	30501	0.999999999999685	12345	atac	Fibro-NRK	0.307326567868591
WT_2_7-1	WT	312767	29446	1.00000000000011	12463	atac	Fibro-ADAM28	0.629500457870937
WT_2_7-2	WT	236687	25805	1.00000000000016	11602	atac	Fibro-FBLN1	0.706183708711977
WT_2_7-3	WT	243053	25022	0.999999999999746	11912	atac	Fibro-ADAM28	0.396473015457773
WT_2_7-4	WT	228260	25179	1.00000000000008	11489	atac	Fibro-FBLN1	0.406291622289922
WT_2_7-5	WT	155776	20562	1.00000000000021	10296	atac	Fibro-IRF1	0.685269912921757
WT_2_7-6	WT	257237	25742	1.00000000000027	11966	atac	CACNA1A-ELF3+	0.542079779206064
WT_2_7-7	WT	311064	26628	0.999999999999862	11795	atac	Endo	0.909410041293713
WT_2_7-8	WT	297994	29325	1.00000000000001	12083	atac	Fibro-FBLN1	0.448314449939807
WT_2_8-1	WT	277161	27681	1.00000000000021	11938	atac	Fibro-FBLN1	0.386124682058424
WT_2_8-2	WT	255030	27239	1.00000000000001	11809	atac	Fibro-ADAM28	0.251455768112419
WT_2_8-3	WT	241648	26238	1.00000000000026	11694	atac	Fibro-ADAM28	0.406303629941632
WT_2_8-4	WT	236432	23712	0.999999999999958	11005	atac	Fibro-ADAM28	0.331944052605543
WT_2_8-5	WT	203969	24310	0.999999999999982	11229	atac	Fibro-FBLN1	0.552986859286319
WT_2_8-6	WT	239578	25515	0.999999999999794	11892	atac	Fibro-VSTM2A	0.325549504816429
WT_2_8-8	WT	235131	25272	0.999999999999851	11591	atac	Fibro-VSTM2A	0.38752615734423
WT_2_9-1	WT	290532	27661	0.999999999999992	12098	atac	Fibro-VSTM2A	0.72909141818724
WT_2_9-2	WT	365348	34082	0.999999999999813	12927	atac	Epi	0.572721663884235
WT_2_9-3	WT	185803	20544	1.00000000000001	10870	atac	Fibro-VSTM2A	0.304946188518232
WT_2_9-4	WT	248062	27036	0.999999999999756	11855	atac	Fibro-KCNJ8	0.675296452204259
WT_2_9-5	WT	210000	22750	0.999999999999985	10962	atac	Endo	0.573944094612807
WT_2_9-6	WT	237739	22434	0.999999999999978	10625	atac	Fibro-ADAM28	0.410567103439357
WT_2_9-7	WT	121849	17167	0.999999999999954	9438	atac	Fibro-IRF1	0.23494642958989
WT_2_9-8	WT	261547	25865	0.999999999999965	11905	atac	Fibro-ADAM28	0.536851423427381
WT_2_10-2	WT	206307	23818	1.00000000000026	10997	atac	Fibro-KCNJ8	0.45901815130427
WT_2_10-3	WT	161898	20964	1.0000000000002	10454	atac	Fibro-ADAM28	0.300295048640627
WT_2_10-4	WT	330346	31246	1.00000000000009	12321	atac	Fibro-FBLN1	0.498738266671338
WT_2_10-5	WT	319693	32302	0.999999999999955	12423	atac	Epi	0.61518379650243
WT_2_10-6	WT	244938	24115	1.00000000000016	11648	atac	Fibro-PRSS35	0.42141630714879
WT_2_10-7	WT	144719	19582	1.00000000000012	10249	atac	CACNA1A-ELF3+	0.175695258120348
WT_2_10-8	WT	278022	26160	1.00000000000012	11973	atac	Fibro-ADAM28	0.642838834484798
WT_2_11-1	WT	250671	26512	0.999999999999973	11775	atac	Fibro-ADAM28	0.331460034137592
WT_2_11-2	WT	318974	30108	1	12643	atac	Epi	0.813415237231216
WT_2_11-6	WT	335721	31501	0.999999999999979	12411	atac	Fibro-FBLN1	0.572028621611971
WT_2_11-7	WT	239772	26351	0.999999999999812	11727	atac	Fibro-FBLN1	0.59487090604702
WT_2_11-8	WT	350093	30789	1.00000000000009	12715	atac	Fibro-VSTM2A	0.475160401543282
WT_2_12-1	WT	360757	32747	0.999999999999886	12946	atac	Fibro-VSTM2A	0.598149337268827
WT_2_12-2	WT	350511	31177	0.999999999999941	12873	atac	Fibro-VSTM2A	0.799280524309191
WT_2_12-4	WT	263268	28022	0.999999999999956	11919	atac	Fibro-FBLN1	0.503720297144819
WT_2_12-5	WT	170862	20500	1.00000000000003	10456	atac	Fibro-IRF1	0.252552996087943
WT_2_12-6	WT	310206	30660	1.00000000000024	12621	atac	Epi	0.399822801639348
WT_2_12-7	WT	332388	29296	0.999999999999816	12617	atac	Epi	0.736225508827679
WT_2_12-8	WT	285585	29711	1.00000000000021	12131	atac	Fibro-FBLN1	0.593066972186716
WT_4_1-1	WT	307947	29700	1.00000000000011	12288	atac	Fibro-FBLN1	0.6565301972539
WT_4_1-2	WT	242797	25268	1.00000000000006	11725	atac	Fibro-VSTM2A	0.539961991933005
WT_4_1-3	WT	282687	28571	1.00000000000013	12073	atac	Fibro-FBLN1	0.439241254637195
WT_4_1-4	WT	343370	31711	0.999999999999764	12693	atac	Epi	0.630116147733732
WT_4_1-5	WT	282917	26211	0.999999999999889	12151	atac	Epi	0.806436864760854
WT_4_1-6	WT	446956	32747	0.999999999999747	12912	atac	Endo	0.832878886152757
WT_4_1-7	WT	259078	27181	1.00000000000026	12019	atac	Fibro-VSTM2A	0.415251235519637
WT_4_1-8	WT	375222	32357	1	12925	atac	Epi	0.509502339522828
WT_4_2-2	WT	182842	21645	0.999999999999992	10862	atac	Fibro-IRF1	0.506765818646752
WT_4_2-3	WT	266486	26875	0.999999999999949	11845	atac	Fibro-FBLN1	0.561122330166516
WT_4_2-4	WT	181147	20553	0.999999999999801	10423	atac	Fibro-ADAM28	0.415748069481272
WT_4_2-6	WT	257310	25517	0.999999999999896	11810	atac	Fibro-PRSS35	0.535416295024243
WT_4_2-7	WT	267582	27039	0.999999999999916	11899	atac	Fibro-FBLN1	0.510882775200919
WT_4_2-8	WT	315840	30947	0.99999999999981	12618	atac	Epi	0.465881823456673
WT_4_3-1	WT	257786	26327	1.0000000000003	11850	atac	Fibro-ADAM28	0.430444060929563
WT_4_3-2	WT	294031	28163	1.00000000000008	11957	atac	Epi	0.644329309847833
WT_4_3-3	WT	206822	22405	1.0000000000002	11339	atac	Fibro-ADAM28	0.40440546912467
WT_4_3-4	WT	132152	18084	0.99999999999989	9774	atac	Fibro-ADAM28	0.293940628899155
WT_4_3-5	WT	114251	16398	1.00000000000012	9351	atac	SM-Visceral	0.270730609580161
WT_4_3-7	WT	208270	22858	0.999999999999978	11305	atac	Fibro-ADAM28	0.577022506240778
WT_4_3-8	WT	254516	25449	1.00000000000013	11920	atac	Epi	0.791948662302625
WT_4_4-2	WT	141103	18546	0.999999999999816	10021	atac	Endo	0.218444121568127
WT_4_4-3	WT	228783	23690	1.00000000000005	11599	atac	Fibro-VSTM2A	0.543085853240152
WT_4_4-4	WT	312772	28096	1.00000000000011	12364	atac	Epi	0.722117483680655
WT_4_4-5	WT	188694	20922	1.00000000000015	10912	atac	T	0.998461826005936
WT_4_4-6	WT	335513	31697	1.00000000000014	12666	atac	Epi	0.614833577622791
WT_4_4-7	WT	274905	25842	1.00000000000019	11779	atac	T	0.678504240831685
WT_4_4-8	WT	348687	28651	0.999999999999938	12618	atac	Fibro-KCNJ8	0.939439117206211
WT_4_5-1	WT	304883	30077	0.999999999999947	12397	atac	Epi	0.562841975801772
WT_4_5-2	WT	248842	24884	0.999999999999932	11770	atac	Fibro-KCNJ8	0.842606671955817
WT_4_5-3	WT	202809	22480	1.00000000000017	11077	atac	Glial	0.961691913230901
WT_4_5-4	WT	204787	23428	1.00000000000003	11189	atac	Fibro-FBLN1	0.353426043821707
WT_4_5-5	WT	182178	20757	0.999999999999933	10870	atac	Fibro-ADAM28	0.534870455798567
WT_4_5-6	WT	252963	25064	1.00000000000005	11833	atac	Fibro-ADAM28	0.414163438775136
WT_4_5-7	WT	139685	17733	0.999999999999964	9672	atac	Fibro-ADAM28	0.4251099972582
WT_4_5-8	WT	163871	20631	1.00000000000015	10636	atac	Fibro-FBLN1	0.21118034098022
WT_4_6-1	WT	179711	20988	1.00000000000015	10444	atac	Fibro-ADAM28	0.394959963298775
WT_4_6-2	WT	349676	34444	1.00000000000011	12926	atac	Epi	0.568022270554308
WT_4_6-3	WT	501227	38669	1.0000000000001	13485	atac	Epi	0.513842131212807
WT_4_6-4	WT	186199	20304	0.999999999999876	10214	atac	Fibro-ADAM28	0.482938593737135
WT_4_6-6	WT	282566	26904	1.00000000000012	12042	atac	Fibro-FBLN1	0.344887202048183
WT_4_6-7	WT	223176	23235	0.999999999999768	11548	atac	Fibro-VSTM2A	0.462894754627663
WT_4_6-8	WT	585707	41656	1.00000000000015	13522	atac	Epi	0.619532731173041
WT_4_7-1	WT	165336	20599	0.999999999999966	10506	atac	Fibro-IRF1	0.323994853816075
WT_4_7-2	WT	205301	22239	0.999999999999782	11212	atac	Fibro-FBLN1	0.405740544757135
WT_4_7-3	WT	273842	24975	0.999999999999963	11778	atac	Endo	0.80733627113975
WT_4_7-4	WT	146187	18878	1.00000000000018	10055	atac	Fibro-ADAM28	0.494144857206364
WT_4_7-5	WT	187086	21821	0.999999999999791	10751	atac	Glial	0.872802081606072
WT_4_7-6	WT	260103	25662	1.00000000000008	11908	atac	Epi	0.695430489836599
WT_4_7-8	WT	236174	24796	1.00000000000024	11580	atac	Fibro-ADAM28	0.430823980469154
WT_4_8-1	WT	254602	25937	0.999999999999961	11915	atac	Fibro-ADAM28	0.548681643926806
WT_4_8-2	WT	168335	21362	1.00000000000016	10490	atac	Fibro-ADAM28	0.383556793316216
WT_4_8-4	WT	301286	26752	1.00000000000025	12070	atac	Fibro-VSTM2A	0.826598600335749
WT_4_8-5	WT	220872	22871	1.0000000000002	11413	atac	SM-Visceral	0.725013177522913
WT_4_8-6	WT	152426	20003	0.999999999999878	10443	atac	Fibro-ADAM28	0.330432697094447
WT_4_8-7	WT	237882	23875	0.999999999999941	11732	atac	Fibro-VSTM2A	0.720015204399644
WT_4_8-8	WT	269536	27061	1.00000000000011	12036	atac	Fibro-ADAM28	0.390109889135695
WT_4_9-1	WT	277652	26323	0.999999999999881	11899	atac	Fibro-ADAM28	0.463814355096793
WT_4_9-2	WT	247161	26790	1.00000000000011	11803	atac	Fibro-PRSS35	0.352558495257546
