RNA_cell	ATAC_cell	score
WT_C-C4_57	WT_4_3-7	0.181818181818182
WT_C-D4_62	WT_4_3-7	0.393939393939394
WDOU_C-C2_74	WT_4_4-3	0.151515151515152
WDOU_C-D5_36	WT_4_4-3	0.0303030303030303
WDOU_C-D6_08	WT_4_4-3	0.212121212121212
WT_C-D1_34	WT_4_4-3	0.212121212121212
WT_C-D2_80	WT_4_4-3	0.151515151515152
WDOU_C-B1_64	WT_4_4-4	1
WDOU_C-C4_72	WT_4_4-4	1
WDOU_C-D4_60	WT_4_4-4	0.848484848484849
WDOU_C-D5_17	WT_4_4-4	0.909090909090909
WDOU_C-C5_27	WT_4_4-6	0.787878787878788
WDOU_C-B3_81	WT_4_4-7	0.939393939393939
WT_C-C7_91	WT_4_4-7	0.696969696969697
WDOU_C-C5_03	WT_4_4-8	0.787878787878788
WT_C-C8_52	WT_4_4-8	0.575757575757576
WT_C-C11_40	WT_4_4-8	0.757575757575758
WT_C-D8_90	WT_4_4-8	0.636363636363636
WD_C-C2_02	WT_4_4-8	0.636363636363636
WDOU_C-B5_65	WT_4_5-2	0.393939393939394
WT_C-B1_29	WT_4_5-3	1
WD_C-C3_75	WT_4_5-6	0.0909090909090909
WT_C-C2_35	WT_4_5-7	0.303030303030303
WT_C-B3_02	WT_4_6-7	0.151515151515152
WD_C-B9_96	WT_4_7-5	1
WT_C-B6_48	WT_4_7-5	1
WT_C-C2_16	WT_4_8-5	0.303030303030303
WD_C-B5_06	WT_4_8-5	0.303030303030303
WD_C-B5_78	WT_4_8-5	0.393939393939394
WT_C-C5_83	WT_4_8-8	0.181818181818182
WDOU_C-C5_02	WT_4_9-1	0.212121212121212
WT_C-C3_13	WT_4_9-1	0.303030303030303
WT_C-D2_65	WT_4_9-1	0
WD_C-B4_77	WT_4_9-1	0.0909090909090909
WT_C-D12_27	WT_4_9-2	0.181818181818182
WT_C-B2_65	WT_4_9-2	0.0606060606060606
WD_C-B5_26	WT_4_9-6	0.212121212121212
WDOU_C-B2_83	WT_4_9-7	1
WDOU_C-D2_42	WT_4_9-7	1
WT_C-D1_32	WT_4_9-7	1
WT_C-D7_86	WT_4_9-7	1
WT_C-D11_10	WT_4_9-7	1
WT_C-D10_04	WT_4_10-1	0.272727272727273
WD_C-B8_06	WT_4_10-1	0.575757575757576
WD_C-B9_40	WT_4_10-1	0.606060606060606
WDOU_C-C9_78	WT_4_10-2	0.242424242424242
WDOU_C-C8_56	WT_4_10-4	0.121212121212121
WT_C-B3_17	WT_4_10-4	0.303030303030303
WD_C-B2_13	WT_4_10-6	0.212121212121212
WD_C-B2_82	WT_4_10-6	0.212121212121212
WD_C-C7_07	WT_4_10-6	0.272727272727273
WD_C-C7_43	WT_4_10-6	0.242424242424242
WT_C-D6_07	WT_4_11-2	0.545454545454545
WT_C-B4_36	WT_4_11-2	0.242424242424242
WDOU_C-C3_43	WT_4_11-3	0.212121212121212
WDOU_C-D7_22	WT_4_11-3	0.151515151515152
WT_C-C3_69	WT_4_11-3	0.151515151515152
WT_C-C10_68	WT_4_11-3	0.0606060606060606
WT_C-B3_51	WT_4_11-3	0.0909090909090909
WDOU_C-D2_88	WT_4_12-1	0.121212121212121
WT_C-D12_72	WT_4_12-5	0.121212121212121
WD_C-C6_26	WT_4_12-5	0.0303030303030303
WDOU_C-B8_54	WT_4_12-7	1
WDOU_C-D2_44	WT_4_12-7	0.939393939393939
WDOU_C-D4_60	WT_4_12-7	1
WDOU_C-D5_89	WT_4_12-7	1
WT_C-D2_50	WT_4_12-7	0.939393939393939
WDOU_C-C6_81	WT_4_12-8	0.0909090909090909
WDOU_C-B1_64	WT_5_1-4	1
WDOU_C-B2_94	WT_5_1-4	1
WDOU_C-B6_15	WT_5_1-4	1
WDOU_C-B6_22	WT_5_1-4	1
WD_C-B5_95	WT_5_1-4	1
WD_C-B3_86	WT_5_1-7	0.212121212121212
WD_C-B7_60	WT_5_1-7	0.181818181818182
WD_C-B10_26	WT_5_1-7	0.121212121212121
WT_C-B7_15	WT_5_1-7	0.303030303030303
WD_C-B8_66	WT_5_2-1	0.484848484848485
WD_C-C7_05	WT_5_2-1	0.454545454545455
WD_C-C8_23	WT_5_2-1	0.484848484848485
WDOU_C-C7_21	WT_5_3-1	0.606060606060606
WDOU_C-B4_53	WT_5_3-4	0.333333333333333
WD_C-C6_10	WT_5_3-4	0.424242424242424
WT_C-B7_75	WT_5_3-4	0.121212121212121
WDOU_C-B8_46	WT_5_4-3	1
WD_C-C7_91	WT_5_4-3	1
WT_C-B6_34	WT_5_4-3	1
WT_C-C5_83	WT_5_4-5	0.121212121212121
WT_C-D1_56	WT_5_4-6	0.484848484848485
WT_C-D12_07	WT_5_4-6	0.212121212121212
WDOU_C-D1_48	WT_5_5-4	0.0909090909090909
WT_C-B1_55	WT_5_6-4	0.121212121212121
WT_C-C9_58	WT_5_6-5	0.363636363636364
WT_C-D12_07	WT_5_6-5	0.212121212121212
WD_C-B8_63	WT_5_6-5	0.181818181818182
WD_C-C8_18	WT_5_6-5	0.242424242424242
WT_C-B6_05	WT_5_6-5	0.151515151515152
WD_C-C8_56	WT_5_7-3	0.212121212121212
WT_C-C3_41	WT_5_7-5	0.242424242424242
WD_C-B3_53	WT_5_7-5	0.181818181818182
WD_C-B7_88	WT_5_7-5	0
WD_C-C7_53	WT_5_7-7	0.272727272727273
WDOU_C-C8_57	WT_5_8-3	0.121212121212121
WT_C-D12_76	WT_5_8-3	0.0909090909090909
WD_C-B8_42	WT_5_8-3	0.121212121212121
