p_val	avg_logFC	pct.1	pct.2	p_val_adj	cluster	gene
CTD-2311M21.5	5.92755892647975e-11	0.596582387495607	1	0.857	1.44312349624076e-06	Immune	CTD-2311M21.5
OSTCP1	6.17453224647675e-11	0.307031387171491	1	0.883	1.50325162072723e-06	Immune	OSTCP1
ITLN2	1.0167666646115e-10	0.168374995183372	0.808	0.233	2.47542012166315e-06	Immune	ITLN2
RP4-651E10.4	1.32927450305293e-10	0.162498175960492	0.692	0.161	3.23625170513266e-06	Immune	RP4-651E10.4
F11R	1.51136173764112e-10	0.415064377659039	1	0.928	3.67956128646108e-06	Immune	F11R
CTA-384D8.34	1.53751131846638e-10	0.242947618091177	0.923	0.381	3.74322505593824e-06	Immune	CTA-384D8.34
NECTIN4	1.64678895365851e-10	0.51410660971562	1	0.7	4.00927238657701e-06	Immune	NECTIN4
RP11-394O2.3	1.70816094796309e-10	0.114462026983543	0.423	0.049	4.15868864391093e-06	Immune	RP11-394O2.3
DIAPH2-AS1	1.97511199604045e-10	0.0619433776695495	0.346	0.027	4.80860766556009e-06	Immune	DIAPH2-AS1
LINC00589	2.71591472741084e-10	0.343051917641932	1	0.722	6.61216599535443e-06	Immune	LINC00589
C10orf99	3.13660547853793e-10	0.219800139124412	0.731	0.202	7.63637969804846e-06	Immune	C10orf99
CTB-107G13.1	3.23397869182698e-10	0.0995349411372761	0.5	0.067	7.87344452312196e-06	Immune	CTB-107G13.1
RP11-309J13.1	3.38761620767792e-10	0.123698852182952	0.654	0.152	8.24749041921265e-06	Immune	RP11-309J13.1
RN7SL814P	3.57793829376133e-10	0.128020547627026	0.731	0.175	8.71084856999133e-06	Immune	RN7SL814P
RP11-48B3.2	3.71435498696323e-10	0.0639156112278114	0.346	0.027	9.04296865126069e-06	Immune	RP11-48B3.2
RP11-195C7.1	3.73498999364429e-10	0.0889486577694717	0.462	0.058	9.09320663852639e-06	Immune	RP11-195C7.1
RN7SKP190	3.79442856930715e-10	0.10184828881396	0.538	0.085	9.23791579483518e-06	Immune	RN7SKP190
