p_val	avg_logFC	pct.1	pct.2	p_val_adj	cluster	gene
Peak-6033	8.85192108335744e-31	0.276002996489427	0.975	0.868	1.31998962002918e-25	T	Peak-6033
Peak-22598	1.78566290468548e-15	0.252888366870775	1	0.335	2.66276266683794e-10	CACNA1A-ELF3+	Peak-22598
Peak-29094	1.15190069966741e-13	0.29692470769933	1	0.466	1.71770280433704e-08	CACNA1A-ELF3+	Peak-29094
Peak-23567	1.87710312163245e-13	0.259867613264534	1	0.421	2.79911740394709e-08	CACNA1A-ELF3+	Peak-23567
Peak-21242	2.3383018769696e-13	0.342637510211401	1	0.497	3.4868523759183e-08	CACNA1A-ELF3+	Peak-21242
Peak-33646	3.59347525419184e-13	0.271906071021165	1	0.461	5.35855436429833e-08	CACNA1A-ELF3+	Peak-33646
Peak-22123	1.59465337297056e-12	0.342385627078803	1	0.613	2.37793116323996e-07	CACNA1A-ELF3+	Peak-22123
Peak-32464	4.163583930072e-12	0.259891232807266	1	0.503	6.20869472068407e-07	CACNA1A-ELF3+	Peak-32464
Peak-137511	5.94914123339204e-12	0.505624157959917	1	0.713	8.87129991582187e-07	CACNA1A-ELF3+	Peak-13751
Peak-24541	2.47973379759005e-11	0.259523627674797	0.947	0.409	3.69775424162831e-06	CACNA1A-ELF3+	Peak-24541
Peak-8413	2.85985684569809e-11	0.292306142524319	1	0.744	4.26458992973654e-06	CACNA1A-ELF3+	Peak-8413
Peak-17578	4.25846588246642e-11	0.301071467691098	1	0.719	6.3501817392751e-06	CACNA1A-ELF3+	Peak-17578
Peak-424921	2.42357467572771e-10	0.360820422739086	0.947	0.603	3.6140103206984e-05	CACNA1A-ELF3+	Peak-42492
Peak-9439	6.31907679193857e-09	0.265941909495892	1	0.888	0.000942294412137088	CACNA1A-ELF3+	Peak-9439
