	ABratio	cleanReads	mpRatio	nGene	nUMI	mitoRatio	ERCCratio	avgCor	doublet	filter
SEZC-7_69	0.984425706524439	1493809	0.8928	867	8137	0.00553029372004424	0.166020328034161	0.248911319028792	FALSE	FALSE
SEZC-7_70	0.949808297593466	2472495	0.9066	4335	22429	0.027687369031165	0.0519594857528201	0.360740795736639	FALSE	TRUE
SEZC-7_71	0.986136632320282	6212404	0.9109	5585	37848	0.0299619530754597	0.0454910376106141	0.376469301260332	FALSE	TRUE
SEZC-7_72	0.987893456268408	2179965	0.8984	3349	22316	0.0314572504032981	0.0810664854480316	0.339889904823583	FALSE	TRUE
SEZC-7_73	0.795196622645317	301500	0.6848	787	1296	0.025462962962963	0.979339449740859	0.234576194204334	FALSE	FALSE
SEZC-7_74	0.716433735277033	238205	0.5994	377	521	0.0441458733205374	0.984657080478808	0.182021473645375	FALSE	FALSE
SEZC-7_75	0.978968471668491	1331781	0.9055	2826	12045	0.0445828144458281	0.119569460769987	0.340313941721628	FALSE	TRUE
SEZC-7_77	0.910878024548258	205491	0.7959	447	661	0.0347957639939486	0.978841775847477	0.210316065552321	FALSE	FALSE
SEZC-7_78	0.983619571905767	3280248	0.8961	4192	22575	0.061483942414175	0.0762409946767489	0.344577376669346	FALSE	TRUE
SEZC-7_79	0.955584484604658	1264172	0.9026	2817	10097	0.0236703971476676	0.138702266310241	0.326282768190846	FALSE	TRUE
SEZC-7_80	0.909970092667215	390194	0.8473	1021	2132	0.122420262664165	0.539244522790229	0.261606463181178	FALSE	FALSE
SEZC-7_81	0.968999324497289	1751177	0.9049	4502	33476	0.0273628868443064	0.0708817362628415	0.366107084776367	FALSE	TRUE
SEZC-7_82	0.946052451806871	1663659	0.8901	3904	35204	0.029854561981593	0.0760944826095197	0.351468189780607	FALSE	TRUE
SEZC-7_83	0.95448331730039	283148	0.8835	472	5135	0.00194741966893866	0.239962041332771	0.208876328497716	FALSE	FALSE
SEZC-7_85	0.919545112119124	145138	0.7159	528	1194	0.0519262981574539	0.964527382468575	0.220617701106451	FALSE	FALSE
SEZC-7_86	0.950310785635179	564889	0.8319	1532	7633	0.138215642604481	0.345928180695253	0.281177048958462	FALSE	TRUE
SEZC-7_87	0.978170460068359	2273314	0.9063	3939	32381	0.0523146289490751	0.0612328336691126	0.334696671609657	FALSE	TRUE
SEZC-7_88	0.983413903300765	1757666	0.9061	3457	33980	0.0271041789287816	0.0973573185095764	0.353274256439611	FALSE	TRUE
SEZC-7_89	0.913581864639979	524738	0.8487	1936	7582	0.178053284093907	0.201644324814114	0.27751949151201	FALSE	FALSE
SEZC-7_90	0.931511357712731	974161	0.8684	2689	8760	0.0710045662100457	0.140569943005699	0.321474424922828	FALSE	TRUE
SEZC-7_91	0.882502361025173	65925	0.7571	257	317	0.0157728706624606	0.980347434027317	0.151665672057879	FALSE	FALSE
SEZC-7_93	0.969718718572372	508990	0.868	375	5458	0.00897764748992305	0.126681631284309	0.185217406664148	FALSE	FALSE
