SD-2_cell1	803123	6052	0	0	15277	4520	0	0
SD-2_cell2	1017211	5344	0	0	14070	3893	0	0
SD-2_cell3	1274235	3676	0	5	23169	2885	0	5
SD-2_cell4	1	0	0	0	1	0	0	0
SD-2_cell5	1649573	4487	0	1	20601	3336	0	1
SD-2_cell6	1125541	5182	0	2	16017	3840	0	2
SD-2_cell7	1631441	7636	1	0	23783	5450	1	0
SD-2_cell8	1187303	3676	0	0	17519	2814	0	0
SD-2_cell9	730456	6044	0	0	15351	4490	0	0
SD-2_cell10	1154156	5714	0	1	17686	4011	0	1
SD-2_cell11	47490	4452	0	2	5215	3382	0	2
SD-2_cell12	0	0	0	0	0	0	0	0
SD-2_cell13	1369192	4927	0	0	17795	3499	0	0
SD-2_cell14	1480753	5493	0	6	22097	3900	0	5
SD-2_cell15	2171149	7471	0	2	27217	5267	0	2
SD-2_cell16	721228	5138	0	0	18347	3630	0	0
SD-2_cell17	1292181	9728	0	1	23736	6698	0	1
SD-2_cell18	855624	8949	0	0	16130	5936	0	0
SD-2_cell19	1507599	6047	2	6	33531	4367	2	6
SD-2_cell20	0	0	0	0	0	0	0	0
SD-2_cell21	1623785	7273	0	0	23010	4767	0	0
SD-2_cell22	1468073	8289	2	4	22138	5600	2	3
SD-2_cell23	2949595	11992	0	41	37888	7559	0	7
SD-2_cell24	209164	6488	0	0	7952	4646	0	0
SD-2_cell25	2098041	9150	0	0	37193	5852	0	0
SD-2_cell26	2482929	7457	0	0	31499	4718	0	0
SD-2_cell27	1138026	6004	2	2	21783	4128	2	2
SD-2_cell28	1	0	0	0	1	0	0	0
SD-2_cell29	679670	7846	1	43	13068	4849	1	1
SD-2_cell30	1839351	8186	1	0	25974	5150	1	0
SD-2_cell31	1897712	13095	0	0	26276	7629	0	0
SD-2_cell32	61794	6853	0	0	6123	4511	0	0
SD-2_cell33	1248966	5135	0	0	23192	3902	0	0
SD-2_cell34	594350	4870	0	0	10642	3594	0	0
SD-2_cell35	58549	3353	2	1	3801	2674	2	1
SD-2_cell36	5	0	1	0	3	0	1	0
SD-2_cell37	813305	3945	1	0	12957	2920	1	0
SD-2_cell38	673048	4535	0	2	11982	3443	0	2
SD-2_cell39	1520527	6520	0	0	22556	4751	0	0
SD-2_cell40	1023925	3319	0	0	15504	2590	0	0
SD-2_cell41	1166651	8621	0	0	24252	5763	0	0
SD-2_cell42	811078	7798	1	0	22078	4948	1	0
SD-2_cell43	256123	5779	0	2	11033	4126	0	2
SD-2_cell44	3	0	1	0	3	0	1	0
SD-2_cell45	101755	7291	0	0	7869	4642	0	0
SD-2_cell46	1196819	7248	0	2	21045	4832	0	2
SD-2_cell47	1126144	11080	2	2	20841	7112	2	2
SD-2_cell48	1828807	5121	0	2	30384	3554	0	2
SD-2_cell49	977353	5627	0	0	17361	4278	0	0
SD-2_cell50	1361750	4871	0	0	16174	3604	0	0
SD-2_cell51	748184	3536	5	1	15564	2784	5	1
SD-2_cell52	2	0	0	0	2	0	0	0
SD-2_cell53	341090	4424	0	0	7322	3323	0	0
SD-2_cell54	1033562	4810	0	2	16487	3540	0	2
SD-2_cell55	2036851	6888	0	1	24808	4929	0	1
SD-2_cell56	1033063	3464	0	1	15732	2680	0	1
SD-2_cell57	1366701	8489	0	0	28837	5428	0	0
SD-2_cell58	1642446	7374	1	0	29430	4602	1	0
SD-2_cell59	989146	4947	18	3	22754	3565	3	3
SD-2_cell60	2	0	0	0	2	0	0	0
SD-2_cell61	1618964	5684	0	6	26570	3686	0	1
SD-2_cell62	1062393	8425	0	2	21410	5018	0	2
SD-2_cell63	753911	11834	1	0	19661	7013	1	0
SD-2_cell64	114189	7474	0	0	7966	4521	0	0
SD-2_cell65	2076156	10690	0	1	34357	7205	0	1
SD-2_cell66	354677	10629	0	0	11279	6751	0	0
SD-2_cell67	1228946	6963	0	5	23548	4905	0	5
SD-2_cell68	1	0	1	0	1	0	1	0
SD-2_cell69	1897206	8102	0	0	22821	5176	0	0
SD-2_cell70	93679	10329	2	1	8970	6768	2	1
SD-2_cell71	1920237	14334	0	3	24819	8872	0	2
SD-2_cell72	1257557	6987	0	0	21317	4779	0	0
SD-2_cell73	1528990	6535	0	0	24849	4766	0	0
SD-2_cell74	1620443	6246	0	0	19914	4271	0	0
SD-2_cell75	934296	3872	2	2	17748	3059	2	2
SD-2_cell76	9	0	0	0	8	0	0	0
SD-2_cell77	416975	5469	0	0	7658	3771	0	0
SD-2_cell78	1795365	5913	2	4	23307	4084	1	4
SD-2_cell79	1170469	8844	1	1	20637	6001	1	1
SD-2_cell80	1274137	4040	0	0	22005	3013	0	0
SD-2_cell81	1173204	8109	0	1	25131	4313	0	1
SD-2_cell82	1396364	6776	0	0	26618	3548	0	0
SD-2_cell83	1290097	5674	0	4	30707	3144	0	4
SD-2_cell84	0	0	0	0	0	0	0	0
SD-2_cell85	1388014	7672	0	2	25598	3577	0	2
SD-2_cell86	1333255	7968	1	5	24898	3997	1	4
SD-2_cell87	1139419	13297	0	0	23819	5723	0	0
SD-2_cell88	1032441	6778	0	0	22326	3310	0	0
SD-2_cell89	602943	4102	0	5	13521	3239	0	1
SD-2_cell90	445843	3819	0	0	10534	2914	0	0
SD-2_cell91	480450	2619	1	1	13335	2138	1	1
SD-2_cell92	2	0	1	0	2	0	1	0
SD-2_cell93	659032	3177	0	0	13121	2432	0	0
SD-2_cell94	619914	3707	0	1	13582	2873	0	1
SD-2_cell95	1157860	5232	0	0	19783	3914	0	0
SD-2_cell96	616480	2747	0	0	14132	2151	0	0
SD-3_cell1	990890	4110	0	1	17660	3220	0	1
SD-3_cell2	437421	4517	0	0	11058	3442	0	0
SD-3_cell3	438131	2295	0	3	12011	1842	0	2
SD-3_cell4	3	0	0	0	3	0	0	0
SD-3_cell5	1253974	4839	0	0	20501	3585	0	0
SD-3_cell6	1351840	6052	1	1	23989	4607	1	1
SD-3_cell7	731812	6225	0	0	13697	4669	0	0
SD-3_cell8	1168871	3174	0	0	22024	2559	0	0
SD-3_cell9	690945	3816	0	0	14495	2936	0	0
SD-3_cell10	607824	3644	0	0	12945	2856	0	0
SD-3_cell11	558898	2056	0	3	11480	1647	0	2
SD-3_cell12	0	0	0	0	0	0	0	0
SD-3_cell13	1277254	4563	0	0	22405	3398	0	0
SD-3_cell14	2277550	5866	0	4	36537	4289	0	4
SD-3_cell15	1219753	5199	0	1	23432	3891	0	1
SD-3_cell16	762584	3275	0	2	16522	2561	0	1
SD-3_cell17	627522	7726	0	0	15835	5430	0	0
SD-3_cell18	394997	8020	0	0	12530	5606	0	0
SD-3_cell19	42940	4355	0	1	4638	3298	0	1
SD-3_cell20	0	0	0	0	0	0	0	0
SD-3_cell21	61414	9454	0	0	8572	6480	0	0
SD-3_cell22	824342	11263	0	1	21710	7632	0	1
SD-3_cell23	927412	11718	0	0	20745	7665	0	0
SD-3_cell24	894122	6053	0	0	18951	4537	0	0
SD-3_cell25	1622732	5649	0	0	33594	3874	0	0
SD-3_cell26	935801	7582	0	0	18808	5015	0	0
SD-3_cell27	459951	3221	2	1	13672	2525	1	1
SD-3_cell28	2	0	0	0	2	0	0	0
SD-3_cell29	974299	8548	0	9	17909	5525	0	1
SD-3_cell30	1401687	7450	1	4	25347	5411	1	4
SD-3_cell31	1896259	7473	0	4	27354	5296	0	4
SD-3_cell32	901024	5328	0	0	30865	3782	0	0
SD-3_cell33	62593	4146	0	0	4718	3229	0	0
SD-3_cell34	833134	3852	1	0	18882	3016	1	0
SD-3_cell35	610985	2088	1	3	14089	1700	1	3
SD-3_cell36	1	0	1	0	1	0	1	0
SD-3_cell37	540977	4620	0	0	13552	3502	0	0
SD-3_cell38	83146	6079	5	1	6596	4630	5	1
SD-3_cell39	447718	6108	0	0	11952	4577	0	0
SD-3_cell40	694378	3281	0	0	14361	2604	0	0
SD-3_cell41	697339	7642	0	0	22064	5047	0	0
SD-3_cell42	535701	8223	0	0	16213	5321	0	0
SD-3_cell43	511064	3846	0	4	15293	2723	0	3
SD-3_cell44	2	0	0	0	2	0	0	0
SD-3_cell45	1467250	8687	0	0	30791	5514	0	0
SD-3_cell46	951036	11436	0	2	24991	7294	0	2
SD-3_cell47	1544080	11141	0	0	28917	6937	0	0
SD-3_cell48	630947	6076	0	0	17149	4273	0	0
SD-3_cell49	807039	4487	1	0	17239	3418	1	0
SD-3_cell50	835003	4444	0	0	15813	3356	0	0
SD-3_cell51	439614	2319	3	4	10840	1913	3	4
SD-3_cell52	1	0	0	0	1	0	0	0
SD-3_cell53	1727423	5018	0	1	29549	3682	0	1
SD-3_cell54	2579501	6094	2	6	39775	4534	2	5
SD-3_cell55	2905528	5871	0	0	37981	4309	0	0
SD-3_cell56	806029	3560	0	0	16826	2839	0	0
SD-3_cell57	376700	6981	0	1	15571	4613	0	1
SD-3_cell58	1841317	6269	2	0	42406	4029	1	0
SD-3_cell59	40913	4425	1	0	6051	3098	1	0
SD-3_cell60	0	0	0	0	0	0	0	0
SD-3_cell61	1116075	9341	0	0	28033	5502	0	0
SD-3_cell62	1219386	10721	0	1	29607	6774	0	1
SD-3_cell63	71931	12490	1	1	11683	7470	1	1
SD-3_cell64	721231	6270	0	0	20489	4146	0	0
SD-3_cell65	626370	10263	0	0	17130	6740	0	0
SD-3_cell66	768048	10631	0	0	18997	6867	0	0
SD-3_cell67	699547	5228	0	2	17717	3671	0	2
SD-3_cell68	0	0	0	0	0	0	0	0
SD-3_cell69	1311390	12001	0	0	24542	7412	0	0
