cor_bin	Freq
[-1,-0.96]	0
(-0.96,-0.92]	0
(-0.92,-0.88]	0
(-0.88,-0.84]	0
(-0.84,-0.8]	0
(-0.8,-0.76]	0
(-0.76,-0.72]	0
(-0.72,-0.68]	0
(-0.68,-0.64]	0
(-0.64,-0.6]	0
(-0.6,-0.56]	0
(-0.56,-0.52]	0
(-0.52,-0.48]	0
(-0.48,-0.44]	0
(-0.44,-0.4]	0
(-0.4,-0.36]	9.08573930524441e-08
(-0.36,-0.32]	2.2714348263111e-07
(-0.32,-0.28]	4.31572616999109e-07
(-0.28,-0.24]	1.59000437841777e-06
(-0.24,-0.2]	5.92844489667198e-06
(-0.2,-0.16]	2.39863517658452e-05
(-0.16,-0.12]	0.000126587062870318
(-0.12,-0.08]	0.00133287795607935
(-0.08,-0.04]	0.0341538164784238
(-0.04,0]	0.315756629932114
(0,0.04]	0.502115228253306
(0.04,0.08]	0.138180647938596
(0.08,0.12]	0.00770411635779242
(0.12,0.16]	0.000397955381569705
(0.16,0.2]	0.000105417290289098
(0.2,0.24]	4.45882656404869e-05
(0.24,0.28]	2.27597769596372e-05
(0.28,0.32]	1.11981736937137e-05
(0.32,0.36]	6.42816055846042e-06
(0.36,0.4]	3.24815180162488e-06
(0.4,0.44]	2.11243438846932e-06
(0.44,0.48]	1.36286089578666e-06
(0.48,0.52]	8.40430885735108e-07
(0.52,0.56]	7.95002189208886e-07
(0.56,0.6]	2.95286527420443e-07
(0.6,0.64]	2.95286527420443e-07
(0.64,0.68]	1.81714786104888e-07
(0.68,0.72]	1.81714786104888e-07
(0.72,0.76]	6.81430447893331e-08
(0.76,0.8]	9.08573930524441e-08
(0.8,0.84]	2.2714348263111e-08
(0.84,0.88]	0
(0.88,0.92]	0
(0.92,0.96]	0
(0.96,1]	0
