prob	cor_quantile
0	-0.393949061711128
0.01	-0.0559417795652347
0.02	-0.0474418018655273
0.03	-0.0422714629183279
0.04	-0.0384532088087208
0.05	-0.0353957017378174
0.06	-0.0328166927276043
0.07	-0.0305700931385324
0.08	-0.0285593113150071
0.09	-0.0267403396683249
0.1	-0.0250742197614905
0.11	-0.0235323514997214
0.12	-0.0220857325447431
0.13	-0.0207261143405441
0.14	-0.0194348978592419
0.15	-0.0182081835675784
0.16	-0.0170330713033024
0.17	-0.0159093343362963
0.18	-0.0148302614210264
0.19	-0.0137853839056517
0.2	-0.0127789034590822
0.21	-0.0117982663075936
0.22	-0.0108435166314085
0.23	-0.00991650307565028
0.24	-0.00901146882231257
0.25	-0.00812807600662795
0.26	-0.00726347747626289
0.27	-0.00641723801063599
0.28	-0.005584874305817
0.29	-0.00476639489630082
0.3	-0.0039631099222517
0.31	-0.00317089252282117
0.32	-0.00239034312085638
0.33	-0.00161991097961913
0.34	-0.000859707362716942
0.35	-0.000105636480370806
0.36	0.000639293888659222
0.37	0.00137741242668271
0.38	0.00210847266660293
0.39	0.00283206899838604
0.4	0.0035524771498023
0.41	0.00426839440154272
0.42	0.00497874090707175
0.43	0.00568900210714802
0.44	0.00639362079830448
0.45	0.00709513504920678
0.46	0.00779554440616401
0.47	0.00849402391646524
0.48	0.00919021064941897
0.49	0.00988401046129566
0.5	0.0105793936885115
0.51	0.0112757317949533
0.52	0.0119713844921839
0.53	0.0126693306494403
0.54	0.0133677534036389
0.55	0.0140702356806391
0.56	0.0147734863369194
0.57	0.0154803659999263
0.58	0.0161892621345179
0.59	0.016903928438924
0.6	0.0176212098850128
0.61	0.0183447999946092
0.62	0.0190739903939249
0.63	0.0198086938458644
0.64	0.0205502697681781
0.65	0.0212994799978561
0.66	0.0220540861934627
0.67	0.0228207756983234
0.68	0.0235956633975687
0.69	0.0243824504278952
0.7	0.0251791373688546
0.71	0.0259865112207051
0.72	0.0268123229800088
0.73	0.0276506463373672
0.74	0.028505699700194
0.75	0.0293780810433841
0.76	0.0302708411118525
0.77	0.0311832120782783
0.78	0.0321230353487648
0.79	0.0330837904210674
0.8	0.0340739325028941
0.81	0.03509483042535
0.82	0.0361496996626605
0.83	0.037244026372503
0.84	0.0383826169475039
0.85	0.0395707474162647
0.86	0.040813207899344
0.87	0.042121337353134
0.88	0.0435044277592953
0.89	0.0449714775042972
0.9	0.0465441629807999
0.91	0.0482388928414306
0.92	0.0500869468156142
0.93	0.0521233943289519
0.94	0.0544136088542785
0.95	0.057041823565466
0.96	0.0601399808673919
0.97	0.0639919845178891
0.98	0.0692095501522348
0.99	0.0777429564044917
1	0.807862156557895
