orig.ident	nCount_ATAC	nFeature_ATAC	nCount_ACTIVITY	nFeature_ACTIVITY	tech	predicted.id	prediction.score.max	tSNE_1	tSNE_2	EPCAM	VIM	PTPRC	HBG1
WT_1_5-5	WT	69148	26801	28477.4354381835	13063	atac	Fibro-ADAM28	0.446568704462817	3.94815081767612	23.234145172447	0.110217826042182	1.42784088531227	-0.115666004720209	-0.092707651815819
WT_1_5-7	WT	94820	35767	37707.8648960685	14458	atac	Fibro-FBLN1	0.598961769465789	10.4792263173464	19.8196399396898	0.241514732712501	0.950877380423841	-0.115666004720209	-0.092707651815819
WT_1_5-8	WT	158034	54086	56125.3991960241	16863	atac	Fibro-FBLN1	0.476710389368533	9.43237385167705	18.7292426901587	-0.413438662197755	-0.155443999987701	-0.115666004720209	-0.092707651815819
WT_1_6-2	WT	179188	53881	56455.3595261328	16596	atac	Fibro-FBLN1	0.433703554104702	9.80477854766904	19.4519167228011	0.118997441258747	0.731532972072747	-0.115666004720209	-0.092707651815819
WT_1_6-3	WT	109979	42040	44360.6543064117	15286	atac	Fibro-FBLN1	0.437984671595671	10.9963896291708	19.6117190863625	0.382335675085516	0.711748734746584	-0.115666004720209	-0.092707651815819
WT_1_6-4	WT	117279	41586	43626.1686991759	15256	atac	Fibro-ADAM28	0.507725127760222	3.33039615694374	21.3847161972543	0.402281520215444	0.735126566428755	-0.115666004720209	-0.092707651815819
WT_1_6-5	WT	67571	26956	27977.8136882748	13048	atac	Fibro-KCNJ8	0.847725116402592	0.640402019387419	13.6360434003668	-1.04018241792797	0.297159138415752	-0.115666004720209	-0.092707651815819
WT_1_6-6	WT	212757	62456	64918.7311462797	17258	atac	Fibro-FBLN1	0.529329912144581	11.9777877303768	16.807537678174	-0.492550576614825	1.39726456556046	-0.115666004720209	-0.092707651815819
WT_1_6-7	WT	106623	38688	40902.0390674858	14885	atac	Fibro-FBLN1	0.477229284100723	12.0911873114739	17.2282948208239	-1.04018241792797	0.827950984022709	-0.115666004720209	-0.092707651815819
WT_1_6-8	WT	168688	62327	62924.3777141788	17424	atac	Epi	0.466247053354539	6.73450618643705	20.2722718627907	1.98116242203788	0.228032787155169	-0.115666004720209	-0.092707651815819
WT_1_7-1	WT	87855	34463	36312.7972074604	14314	atac	Fibro-FBLN1	0.337943474338638	2.93264685963186	24.3641451853335	2.51715076841959	1.67617528025374	8.79762000799181	-0.092707651815819
WT_1_7-2	WT	77662	30202	32067.875743278	13612	atac	Fibro-NRK	0.416703028677066	10.6945280078399	20.1615720302572	2.09514693268544	0.260508785442712	-0.115666004720209	-0.092707651815819
WT_1_7-3	WT	107561	37423	39388.2992413732	14890	atac	Fibro-ADAM28	0.570184868463922	4.34176843222504	23.7157958312319	-0.175376284029938	1.51801385137255	-0.115666004720209	-0.092707651815819
WT_1_7-4	WT	84236	30989	32933.2128881353	13712	atac	Endo	0.526648313125324	-17.7518026339386	17.2628001916176	2.74764899315138	1.08731295239588	-0.115666004720209	-0.092707651815819
WT_1_7-5	WT	67042	28654	30044.5477949336	12867	atac	Fibro-IRF1	0.360920885610552	15.9869925797158	19.0323946772983	-1.04018241792797	0.939167232090591	-0.115666004720209	-0.092707651815819
WT_1_7-7	WT	86491	33650	35743.5019191504	14143	atac	Fibro-FBLN1	0.692343027226351	7.57554820612652	14.1255056280329	0.988193329096629	-0.955535269851143	-0.115666004720209	-0.092707651815819
WT_1_7-8	WT	170942	58081	60050.613365953	17208	atac	Fibro-ADAM28	0.267035736199699	3.4753067683729	18.3086365061012	1.47099093420425	0.052879939501233	-0.115666004720209	-0.092707651815819
WT_1_8-1	WT	189919	56598	59475.4822066675	16627	atac	Fibro-FBLN1	0.613720173894064	10.8171349245851	15.5786258193795	-1.04018241792797	1.34881396901922	-0.115666004720209	-0.092707651815819
