cor_bin	Freq
[-1,-0.96]	0
(-0.96,-0.92]	0
(-0.92,-0.88]	0
(-0.88,-0.84]	0
(-0.84,-0.8]	0
(-0.8,-0.76]	0
(-0.76,-0.72]	0
(-0.72,-0.68]	0
(-0.68,-0.64]	0
(-0.64,-0.6]	0
(-0.6,-0.56]	0
(-0.56,-0.52]	0
(-0.52,-0.48]	0
(-0.48,-0.44]	0
(-0.44,-0.4]	0
(-0.4,-0.36]	6.84344564203222e-08
(-0.36,-0.32]	2.05303369260967e-07
(-0.32,-0.28]	5.93098622309459e-07
(-0.28,-0.24]	1.59680398314085e-06
(-0.24,-0.2]	5.83974028120083e-06
(-0.2,-0.16]	2.39292482616393e-05
(-0.16,-0.12]	0.000132124123862169
(-0.12,-0.08]	0.00136923660405781
(-0.08,-0.04]	0.0341054747428267
(-0.04,0]	0.314378996315626
(0,0.04]	0.502413911392799
(0.04,0.08]	0.139161672434095
(0.08,0.12]	0.00781069824907706
(0.12,0.16]	0.000396349560101033
(0.16,0.2]	0.00010680337498665
(0.2,0.24]	4.37524291380594e-05
(0.24,0.28]	2.21043294237641e-05
(0.28,0.32]	1.09038900563047e-05
(0.32,0.36]	6.41002741803685e-06
(0.36,0.4]	3.01111608249418e-06
(0.4,0.44]	2.12146814902999e-06
(0.44,0.48]	1.345877642933e-06
(0.48,0.52]	1.04932833177827e-06
(0.52,0.56]	6.84344564203222e-07
(0.56,0.6]	3.42172282101611e-07
(0.6,0.64]	2.28114854734407e-07
(0.64,0.68]	1.82491883787526e-07
(0.68,0.72]	1.82491883787526e-07
(0.72,0.76]	6.84344564203222e-08
(0.76,0.8]	9.1245941893763e-08
(0.8,0.84]	2.28114854734407e-08
(0.84,0.88]	0
(0.88,0.92]	0
(0.92,0.96]	0
(0.96,1]	0
