cor_bin	Freq
[-1,-0.96]	0
(-0.96,-0.92]	0
(-0.92,-0.88]	0
(-0.88,-0.84]	0
(-0.84,-0.8]	0
(-0.8,-0.76]	0
(-0.76,-0.72]	0
(-0.72,-0.68]	0
(-0.68,-0.64]	0
(-0.64,-0.6]	0
(-0.6,-0.56]	0
(-0.56,-0.52]	0
(-0.52,-0.48]	0
(-0.48,-0.44]	0
(-0.44,-0.4]	0
(-0.4,-0.36]	6.73511927593157e-08
(-0.36,-0.32]	2.24503975864386e-07
(-0.32,-0.28]	6.06160734833842e-07
(-0.28,-0.24]	1.90828379484728e-06
(-0.24,-0.2]	6.78002007110445e-06
(-0.2,-0.16]	3.01957847537599e-05
(-0.16,-0.12]	0.000184474916967766
(-0.12,-0.08]	0.00290225269758926
(-0.08,-0.04]	0.054518298544534
(-0.04,0]	0.315525273860614
(0,0.04]	0.448587500682773
(0.04,0.08]	0.16134984003306
(0.08,0.12]	0.0159092497456538
(0.12,0.16]	0.000760417416650261
(0.16,0.2]	0.000122197514062985
(0.2,0.24]	4.94806762805106e-05
(0.24,0.28]	2.30565583212724e-05
(0.28,0.32]	1.14721531666701e-05
(0.32,0.36]	6.42081370972143e-06
(0.36,0.4]	3.74921639693524e-06
(0.4,0.44]	2.22258936105742e-06
(0.44,0.48]	1.45927584311851e-06
(0.48,0.52]	9.20466301043982e-07
(0.52,0.56]	7.18412722766034e-07
(0.56,0.6]	3.59206361383017e-07
(0.6,0.64]	3.1430556621014e-07
(0.64,0.68]	1.79603180691509e-07
(0.68,0.72]	1.5715278310507e-07
(0.72,0.76]	8.98015903457543e-08
(0.76,0.8]	8.98015903457543e-08
(0.8,0.84]	2.24503975864386e-08
(0.84,0.88]	0
(0.88,0.92]	0
(0.92,0.96]	0
(0.96,1]	0
