cor_bin	Freq
[-1,-0.96]	0
(-0.96,-0.92]	0
(-0.92,-0.88]	0
(-0.88,-0.84]	0
(-0.84,-0.8]	0
(-0.8,-0.76]	0
(-0.76,-0.72]	0
(-0.72,-0.68]	0
(-0.68,-0.64]	0
(-0.64,-0.6]	0
(-0.6,-0.56]	0
(-0.56,-0.52]	0
(-0.52,-0.48]	0
(-0.48,-0.44]	2.21396854747723e-08
(-0.44,-0.4]	6.64190564243168e-08
(-0.4,-0.36]	2.21396854747723e-08
(-0.36,-0.32]	6.19911193293624e-07
(-0.32,-0.28]	1.88187326535564e-06
(-0.28,-0.24]	1.22653857530238e-05
(-0.24,-0.2]	0.000127325331165415
(-0.2,-0.16]	0.00132610074088243
(-0.16,-0.12]	0.0101203823258005
(-0.12,-0.08]	0.0477570948836072
(-0.08,-0.04]	0.134514773369324
(-0.04,0]	0.234431993085333
(0,0.04]	0.259874366140805
(0.04,0.08]	0.187311059924158
(0.08,0.12]	0.0890577704096905
(0.12,0.16]	0.0282338110191871
(0.16,0.2]	0.00609574174145452
(0.2,0.24]	0.000956899345905132
(0.24,0.28]	0.000128565153552003
(0.28,0.32]	2.73867909322933e-05
(0.32,0.36]	9.96285846364752e-06
(0.36,0.4]	4.67147363517695e-06
(0.4,0.44]	2.70104162792222e-06
(0.44,0.48]	1.52763829775929e-06
(0.48,0.52]	1.10698427373861e-06
(0.52,0.56]	6.64190564243168e-07
(0.56,0.6]	3.98514338545901e-07
(0.6,0.64]	2.43536540222495e-07
(0.64,0.68]	2.43536540222495e-07
(0.68,0.72]	2.21396854747723e-07
(0.72,0.76]	0
(0.76,0.8]	6.64190564243168e-08
(0.8,0.84]	4.42793709495445e-08
(0.84,0.88]	0
(0.88,0.92]	0
(0.92,0.96]	0
(0.96,1]	0
