prob	cor_quantile
0	-0.458235400907035
0.01	-0.123117238019754
0.02	-0.107830177218155
0.03	-0.0980927536972422
0.04	-0.090764000298085
0.05	-0.0847868208588799
0.06	-0.0796866460001028
0.07	-0.0751858327974173
0.08	-0.071143699313091
0.09	-0.0674681987378991
0.1	-0.0640715986403657
0.11	-0.0609150074898772
0.12	-0.0579552045424567
0.13	-0.0551661930760713
0.14	-0.0525178404826006
0.15	-0.0499873445832456
0.16	-0.0475615855589608
0.17	-0.045235341816842
0.18	-0.0429929097453745
0.19	-0.0408211412322125
0.2	-0.038717415590862
0.21	-0.0366711741736097
0.22	-0.0346798398899595
0.23	-0.0327392179881197
0.24	-0.0308438435170646
0.25	-0.0289882327607488
0.26	-0.0271745777494027
0.27	-0.0253867306304591
0.28	-0.0236381637342624
0.29	-0.0219132913506196
0.3	-0.0202164015419048
0.31	-0.0185461017772799
0.32	-0.0168934764143138
0.33	-0.0152622199778912
0.34	-0.0136529726586913
0.35	-0.0120608130460502
0.36	-0.010484180215484
0.37	-0.00891889086370752
0.38	-0.00736483110593065
0.39	-0.0058254806284404
0.4	-0.00428990529096187
0.41	-0.00276894750735738
0.42	-0.00125325980945253
0.43	0.000257272124619916
0.44	0.00176076576281092
0.45	0.00325956241761627
0.46	0.00475317832558708
0.47	0.00624431054954598
0.48	0.00773760519798276
0.49	0.00922434021504006
0.5	0.0107147863737427
0.51	0.0122038245192762
0.52	0.0136938273149014
0.53	0.015186703490277
0.54	0.0166822067054515
0.55	0.0181850625052313
0.56	0.0196968033966962
0.57	0.0212074815853943
0.58	0.0227271224389341
0.59	0.0242594285727237
0.6	0.0257980210327865
0.61	0.0273493765240985
0.62	0.0289185561456727
0.63	0.0304958998606659
0.64	0.032084691001823
0.65	0.033693325940047
0.66	0.0353167617998362
0.67	0.0369554080637658
0.68	0.0386216425138913
0.69	0.0403125959699977
0.7	0.0420225368093964
0.71	0.0437647757443421
0.72	0.0455357674027118
0.73	0.0473400370129435
0.74	0.0491787864396379
0.75	0.0510514888992824
0.76	0.0529664605488305
0.77	0.0549247312766405
0.78	0.0569374666024515
0.79	0.0590051570060103
0.8	0.0611340631014614
0.81	0.0633271377518631
0.82	0.0655958392928603
0.83	0.0679432728049776
0.84	0.070381405164602
0.85	0.072925291175905
0.86	0.0755984874915129
0.87	0.0784040556672228
0.88	0.0813536996240583
0.89	0.0844894084107801
0.9	0.0878387437460835
0.91	0.0914458616555522
0.92	0.0953760962849548
0.93	0.0997018271815063
0.94	0.104537500335077
0.95	0.110066568050039
0.96	0.116594291287489
0.97	0.124640458642487
0.98	0.135347061466559
0.99	0.152454467381149
1	0.816333383296862
