human	XC_FOXL1-601_60	1014370	876069	824042	86.37%	0.8637	81.24%	single	1.8000
human	XC_FOXL1-601_61	1911136	1650459	1567557	86.36%	0.8636	82.02%	single	2.6167
human	XC_FOXL1-601_62	2217108	1934385	1830569	87.25%	0.8725	82.57%	single	2.8667
human	XC_FOXL1-601_63	1201742	1038846	987837	86.45%	0.8645	82.20%	single	2.0333
human	XC_FOXL1-601_64	45559	33386	32949	73.28%	0.7328	72.32%	single	1.2667
human	XC_FOXL1-601_65	47518	36361	36292	76.52%	0.7652	76.38%	single	1.2667
human	XC_FOXL1-601_66	1003348	764219	719243	76.17%	0.7617	71.68%	single	1.7667
human	XC_FOXL1-601_67	1082734	931298	880603	86.01%	0.8601	81.33%	single	1.8833
human	XC_FOXL1-601_68	15932	12955	12952	81.31%	0.8131	81.30%	single	1.2667
human	XC_FOXL1-601_69	1633437	1408930	1335007	86.26%	0.8626	81.73%	single	2.2833
human	XC_FOXL1-601_70	1301650	1113540	1054776	85.55%	0.8555	81.03%	single	2.0500
human	XC_FOXL1-601_71	64859	48416	48364	74.65%	0.7465	74.57%	single	1.2833
human	XC_FOXL1-601_72	1218351	1054989	1003962	86.59%	0.8659	82.40%	single	1.9833
human	XC_FOXL1-601_73	1094751	957438	907218	87.46%	0.8746	82.87%	single	1.9000
human	XC_FOXL1-601_74	1246835	1082784	1025584	86.84%	0.8684	82.25%	single	2.0000
human	XC_FOXL1-601_75	25297	20095	20078	79.44%	0.7944	79.37%	single	1.2667
human	XC_FOXL1-601_76	23562	17853	17671	75.77%	0.7577	75.00%	single	1.2667
human	XC_FOXL1-601_77	1815123	1555904	1473562	85.72%	0.8572	81.18%	single	2.4500
human	XC_FOXL1-601_78	1562365	1353124	1284380	86.61%	0.8661	82.21%	single	2.2500
human	XC_FOXL1-601_79	1430086	1228140	1159027	85.88%	0.8588	81.05%	single	2.1833
human	XC_FOXL1-601_80	1037141	902602	857113	87.03%	0.8703	82.64%	single	1.8667
human	XC_FOXL1-601_81	1396773	1200733	1146179	85.96%	0.8596	82.06%	single	2.1833
human	XC_FOXL1-601_82	39488	27862	27413	70.56%	0.7056	69.42%	single	1.2667
human	XC_FOXL1-601_83	37657	22762	22746	60.45%	0.6045	60.40%	single	1.2667
human	XC_FOXL1-601_84	987027	864111	818164	87.55%	0.8755	82.89%	single	1.8000
human	XC_FOXL1-601_85	2327090	2002533	1901507	86.05%	0.8605	81.71%	single	2.8667
human	XC_FOXL1-601_86	53106	29477	29355	55.51%	0.5551	55.28%	single	1.2833
human	XC_FOXL1-601_87	1405808	1201096	1138952	85.44%	0.8544	81.02%	single	2.1500
human	XC_FOXL1-601_88	2486790	2156040	2047631	86.70%	0.8670	82.34%	single	3.0500
human	XC_FOXL1-601_89	1290027	1126862	1055804	87.35%	0.8735	81.84%	single	2.1333
