prob	cor_quantile
0	-0.397820304256504
0.01	-0.0527839047370777
0.02	-0.0444859637811003
0.03	-0.0394909278645314
0.04	-0.0358119935720668
0.05	-0.032873130370526
0.06	-0.0303997045572763
0.07	-0.028246167360513
0.08	-0.0263286023850587
0.09	-0.0245901878305768
0.1	-0.0229973647601117
0.11	-0.0215205886270691
0.12	-0.020140401782731
0.13	-0.0188478062300793
0.14	-0.0176193877936228
0.15	-0.0164509752457435
0.16	-0.015334404392029
0.17	-0.0142646443532777
0.18	-0.0132351901968244
0.19	-0.0122436205617469
0.2	-0.0112857487249736
0.21	-0.0103547965385233
0.22	-0.00944912926192557
0.23	-0.00857019595707191
0.24	-0.00771230988930063
0.25	-0.0068750761818324
0.26	-0.00605492521711396
0.27	-0.00525100061524989
0.28	-0.00446129917735147
0.29	-0.00368394967696676
0.3	-0.00292004051288839
0.31	-0.00216880616992479
0.32	-0.00142633783816658
0.33	-0.000696300875761316
0.34	2.52563159175549e-05
0.35	0.00073894444959598
0.36	0.00144523609538595
0.37	0.00214614288378372
0.38	0.00283898285609832
0.39	0.00352640023748518
0.4	0.00420884106171284
0.41	0.00488676191712524
0.42	0.00556081845564409
0.43	0.0062324636841335
0.44	0.00690013726351844
0.45	0.00756573044982087
0.46	0.00822809790941709
0.47	0.00888841622166279
0.48	0.00954954218275742
0.49	0.0102077950378558
0.5	0.010864371177871
0.51	0.0115236630331101
0.52	0.0121850768223916
0.53	0.0128468539757639
0.54	0.0135079759374917
0.55	0.014172103472353
0.56	0.0148371036134635
0.57	0.0155076296507441
0.58	0.0161811203835013
0.59	0.0168566119301435
0.6	0.0175352500720885
0.61	0.0182203000111437
0.62	0.0189108432207453
0.63	0.0196062158992645
0.64	0.0203072544490014
0.65	0.0210160911414862
0.66	0.0217331415752191
0.67	0.0224599413065247
0.68	0.0231963421056303
0.69	0.0239413224611804
0.7	0.0246979980090525
0.71	0.0254653826961756
0.72	0.0262447733106294
0.73	0.0270372167701784
0.74	0.0278462498618417
0.75	0.0286736361600788
0.76	0.0295201079204987
0.77	0.0303860469567384
0.78	0.0312752578147447
0.79	0.0321870892290026
0.8	0.0331256496768241
0.81	0.0340934131465373
0.82	0.0350967609743922
0.83	0.0361368709851931
0.84	0.0372176921539803
0.85	0.0383455389685681
0.86	0.039526280695342
0.87	0.040769696727892
0.88	0.042078372496483
0.89	0.043469210394009
0.9	0.0449627815678542
0.91	0.0465728665500611
0.92	0.0483284085898272
0.93	0.0502616671715301
0.94	0.052436816612351
0.95	0.0549323680121435
0.96	0.0578905459752531
0.97	0.0615767191788954
0.98	0.0665719730340068
0.99	0.0747878976377932
1	0.806946753298534
