human	PR10_XXL_T-1	230891693	365.8166	PR10T1cell55	3218918	3473537	3387581	2934498	2934497
human	PR10_XXL_T-1	230891693	365.8166	PR10T1cell56	1615140	1766910	1715398	1455032	1455031
human	PR10_XXL_T-1	230891693	365.8166	PR10T1cell57	1750311	2079505	2019400	1667704	1667704
human	PR10_XXL_T-1	230891693	365.8166	PR10T1cell58	1878660	2044009	1987789	1656136	1656136
human	PR10_XXL_T-1	230891693	365.8166	PR10T1cell59	1079241	1297477	1260617	964473	964473
human	PR10_XXL_T-1	230891693	365.8166	PR10T1cell60	734558	1286828	1257349	939867	939867
human	PR10_XXL_T-1	230891693	365.8166	PR10T1cell61	1884590	2082694	1986906	1787855	1787854
human	PR10_XXL_T-1	230891693	365.8166	PR10T1cell62	356180	418585	416303	206580	206580
human	PR10_XXL_T-1	230891693	365.8166	PR10T1cell63	2022665	2379938	2316257	1894485	1894484
human	PR10_XXL_T-1	230891693	365.8166	PR10T1cell64	3201119	3541718	3488476	3140959	3140958
human	PR10_XXL_T-1	230891693	365.8166	PR10T1cell65	2995528	3306771	3167916	2717974	2717973
human	PR10_XXL_T-1	230891693	365.8166	PR10T1cell66	2495624	2699540	2627224	2254494	2254494
human	PR10_XXL_T-1	230891693	365.8166	PR10T1cell67	1551575	1740286	1694606	1339473	1339472
human	PR10_XXL_T-1	230891693	365.8166	PR10T1cell68	405816	606203	598237	346715	346714
human	PR10_XXL_T-1	230891693	365.8166	PR10T1cell69	1484787	1604227	1572247	1397552	1397551
human	PR10_XXL_T-1	230891693	365.8166	PR10T1cell70	3364774	3710666	3610299	2869823	2869821
human	PR10_XXL_T-1	230891693	365.8166	PR10T1cell71	3154251	3419872	3284357	2864265	2864264
human	PR10_XXL_T-1	230891693	365.8166	PR10T1cell72	1484493	1616601	1557059	1319464	1319464
human	PR10_XXL_T-1	230891693	365.8166	PR10T1cell73	896786	991857	971213	766455	766455
human	PR10_XXL_T-1	230891693	365.8166	PR10T1cell74	1886057	2045590	1995246	1674686	1674686
human	PR10_XXL_T-1	230891693	365.8166	PR10T1cell75	1192345	1320913	1296936	986199	986198
human	PR10_XXL_T-1	230891693	365.8166	PR10T1cell76	680001	1189711	1173273	833076	833076
human	PR10_XXL_T-1	230891693	365.8166	PR10T1cell77	303493	347954	343618	273804	273804
human	PR10_XXL_T-1	230891693	365.8166	PR10T1cell78	3028854	3354253	3273749	2545976	2545976
human	PR10_XXL_T-1	230891693	365.8166	PR10T1cell79	2281587	2468094	2389572	2005390	2005390
human	PR10_XXL_T-1	230891693	365.8166	PR10T1cell80	1827709	1982163	1944210	1700175	1700175
human	PR10_XXL_T-1	230891693	365.8166	PR10T1cell81	1702263	2007145	1926305	1578825	1578825
human	PR10_XXL_T-1	230891693	365.8166	PR10T1cell82	1829469	2003532	1956123	1626732	1626731
human	PR10_XXL_T-1	230891693	365.8166	PR10T1cell83	1269468	1516883	1483355	1127838	1127838
human	PR10_XXL_T-1	230891693	365.8166	PR10T1cell84	644783	1110540	1090983	746812	746812
human	PR10_XXL_T-1	230891693	365.8166	PR10T1cell85	918598	1022533	997227	825671	825670
human	PR10_XXL_T-1	230891693	365.8166	PR10T1cell86	2212586	2509726	2463865	1753550	1753550
human	PR10_XXL_T-1	230891693	365.8166	PR10T1cell87	2263390	2635687	2554593	2081708	2081708
human	PR10_XXL_T-1	230891693	365.8166	PR10T1cell88	1387234	1534806	1486513	1199674	1199674
human	PR10_XXL_T-1	230891693	365.8166	PR10T1cell89	1065374	1183917	1157365	884185	884185
human	PR10_XXL_T-1	230891693	365.8166	PR10T1cell90	1346541	1466213	1430010	1217342	1217342
human	PR10_XXL_T-1	230891693	365.8166	PR10T1cell91	1026888	1151065	1121689	896393	896393
human	PR10_XXL_T-1	230891693	365.8166	PR10T1cell92	456446	758498	746523	520590	520589
human	PR10_XXL_T-1	230891693	365.8166	PR10T1cell93	1182663	1284525	1242414	1111293	1111292
human	PR10_XXL_T-1	230891693	365.8166	PR10T1cell94	1298856	1461358	1443985	921731	921729
human	PR10_XXL_T-1	230891693	365.8166	PR10T1cell95	2039067	2211482	2165381	1878038	1878038
human	PR10_XXL_T-1	230891693	365.8166	PR10T1cell96	1800974	1954969	1904978	1713833	1713833
