,umi_counts,reads
exp293-B9-2_9D,30641.0,990648.0
exp293-B9-2_10D,65834.0,771823.0
exp293-B9-2_11D,46538.0,1010097.0
exp293-B9-2_12D,39619.0,974276.0
exp293-B9-2_1E,64407.0,2854351.0
exp293-B9-2_2E,51833.0,1310370.0
exp293-B9-2_3E,23039.0,919723.0
exp293-B9-2_4E,61115.0,1373450.0
exp293-B9-2_5E,18015.0,805270.0
exp293-B9-2_6E,12669.0,275429.0
exp293-B9-2_7E,44800.0,1452540.0
exp293-B9-2_8E,59251.0,1239015.0
exp293-B9-2_9E,33174.0,1416536.0
exp293-B9-2_10E,47452.0,1407629.0
exp293-B9-2_11E,59776.0,1286602.0
exp293-B9-2_12E,45105.0,764591.0
exp293-B9-2_1F,3519.0,125122.0
exp293-B9-2_2F,54625.0,1838690.0
exp293-B9-2_3F,13354.0,698783.0
exp293-B9-2_4F,38307.0,476553.0
exp293-B9-2_5F,7454.0,705685.0
exp293-B9-2_6F,37927.0,986359.0
exp293-B9-2_7F,63724.0,1187129.0
exp293-B9-2_8F,45015.0,1078886.0
exp293-B9-2_9F,27280.0,852316.0
exp293-B9-2_10F,56404.0,1190913.0
exp293-B9-2_11F,48466.0,1221964.0
exp293-B9-2_12F,32249.0,637343.0
exp293-B9-2_1G,69342.0,1832087.0
exp293-B9-2_2G,56373.0,2086023.0
exp293-B9-2_3G,20243.0,892918.0
exp293-B9-2_4G,62519.0,1672942.0
exp293-B9-2_5G,14805.0,789553.0
exp293-B9-2_6G,53035.0,1374259.0
exp293-B9-2_7G,51828.0,1582911.0
exp293-B9-2_8G,70387.0,1449162.0
exp293-B9-2_9G,40150.0,1826417.0
exp293-B9-2_10G,64243.0,1179663.0
exp293-B9-2_11G,49892.0,1877697.0
exp293-B9-2_12G,43324.0,910360.0
exp293-B9-2_1H,63887.0,2916295.0
exp293-B9-2_2H,58341.0,1707515.0
exp293-B9-2_3H,18089.0,1067409.0
exp293-B9-2_4H,79311.0,1695062.0
exp293-B9-2_5H,14702.0,598133.0
exp293-B9-2_6H,56405.0,1108693.0
exp293-B9-2_7H,72189.0,1160722.0
exp293-B9-2_8H,68484.0,1809924.0
exp293-B9-2_9H,41179.0,1139970.0
exp293-B9-2_10H,78376.0,1475208.0
exp293-B9-2_11H,56980.0,1343802.0
exp293-B9-2_12H,31187.0,652615.0
