prob	cor_quantile
0	-0.540295650454429
0.01	-0.211761170858825
0.02	-0.187804701480738
0.03	-0.172640988615099
0.04	-0.161159460971347
0.05	-0.151960565316097
0.06	-0.143956757568939
0.07	-0.136766531420767
0.08	-0.130360356558991
0.09	-0.124590368544021
0.1	-0.119205832516658
0.11	-0.114165523237192
0.12	-0.109246028028335
0.13	-0.104362703693816
0.14	-0.0997571144015179
0.15	-0.0954169583976206
0.16	-0.0912208394506762
0.17	-0.0872343621111077
0.18	-0.0833979255894442
0.19	-0.0796971223080988
0.2	-0.0761196570454808
0.21	-0.0726637259630713
0.22	-0.0693016911857286
0.23	-0.066021207399766
0.24	-0.0628134763594851
0.25	-0.0596760020199914
0.26	-0.0566184680549492
0.27	-0.0536156381114075
0.28	-0.0506610782741517
0.29	-0.0477373270230074
0.3	-0.0448880106220133
0.31	-0.0420336396527109
0.32	-0.0392430435896749
0.33	-0.0364896752524986
0.34	-0.0337654079656284
0.35	-0.0310394125954205
0.36	-0.0283867989839643
0.37	-0.0257184837882313
0.38	-0.0230531563677434
0.39	-0.0204327153252381
0.4	-0.0178379710144557
0.41	-0.0152074161132193
0.42	-0.0126019174021185
0.43	-0.0100031799977894
0.44	-0.00742706000879428
0.45	-0.00483025412410749
0.46	-0.00224731539909222
0.47	0.000339561294440635
0.48	0.00293298890710162
0.49	0.00553138383881225
0.5	0.00811917144667011
0.51	0.0107072346906523
0.52	0.0133121175974053
0.53	0.0159160375822467
0.54	0.0185298009548491
0.55	0.0211510291889642
0.56	0.0237819136067855
0.57	0.0264160084516421
0.58	0.0290699984123474
0.59	0.0317288798103439
0.6	0.034415083281343
0.61	0.0371028774803162
0.62	0.0398262575001939
0.63	0.0425629198905652
0.64	0.045334801029492
0.65	0.0481136065797828
0.66	0.0509395855116879
0.67	0.0537870014756665
0.68	0.0566717960583223
0.69	0.0595921319546659
0.7	0.0625656477326098
0.71	0.065583169267826
0.72	0.0686547596913783
0.73	0.0717770416603675
0.74	0.0749615431402287
0.75	0.0782153530068606
0.76	0.0815285708257038
0.77	0.084939050496578
0.78	0.0884226625312966
0.79	0.0920063441286379
0.8	0.0956940287263815
0.81	0.0995098969360789
0.82	0.10345222897129
0.83	0.107539442196379
0.84	0.111792378111265
0.85	0.116230233148139
0.86	0.120878208558046
0.87	0.125761557650974
0.88	0.130928856415451
0.89	0.136418910921858
0.9	0.142274227422742
0.91	0.148562130961148
0.92	0.155405482728902
0.93	0.162923821457447
0.94	0.171316255254455
0.95	0.180895905344633
0.96	0.19214202813763
0.97	0.206030712534459
0.98	0.224547029369204
0.99	0.25402663086416
1	0.831342121824217
