cor_bin	Freq
[-1,-0.96]	0
(-0.96,-0.92]	0
(-0.92,-0.88]	0
(-0.88,-0.84]	0
(-0.84,-0.8]	0
(-0.8,-0.76]	0
(-0.76,-0.72]	0
(-0.72,-0.68]	0
(-0.68,-0.64]	0
(-0.64,-0.6]	0
(-0.6,-0.56]	0
(-0.56,-0.52]	0
(-0.52,-0.48]	8.64360078578975e-08
(-0.48,-0.44]	6.69879060898705e-07
(-0.44,-0.4]	4.53789041253962e-06
(-0.4,-0.36]	3.39261330842248e-05
(-0.36,-0.32]	0.000176048539004573
(-0.32,-0.28]	0.000799295373663942
(-0.28,-0.24]	0.00311167467388234
(-0.24,-0.2]	0.0100981027080185
(-0.2,-0.16]	0.0271908880889236
(-0.16,-0.12]	0.058402563173377
(-0.12,-0.08]	0.0908855390614044
(-0.08,-0.04]	0.128510441793884
(-0.04,0]	0.151634991111137
(0,0.04]	0.151708137582787
(0.04,0.08]	0.134438482520802
(0.08,0.12]	0.102411694273247
(0.12,0.16]	0.0677892759277231
(0.16,0.2]	0.0393391664673236
(0.2,0.24]	0.0198146984863542
(0.24,0.28]	0.0086792124210272
(0.28,0.32]	0.00334939530449353
(0.32,0.36]	0.00113719533738243
(0.36,0.4]	0.000346997353545529
(0.4,0.44]	9.91637100149729e-05
(0.44,0.48]	2.56714943337955e-05
(0.48,0.52]	7.82245871113972e-06
(0.52,0.56]	2.48503522591455e-06
(0.56,0.6]	7.34706066792128e-07
(0.6,0.64]	3.02526027502641e-07
(0.64,0.68]	3.4574403143159e-07
(0.68,0.72]	1.51263013751321e-07
(0.72,0.76]	2.16090019644744e-07
(0.76,0.8]	6.48270058934231e-08
(0.8,0.84]	2.16090019644744e-08
(0.84,0.88]	0
(0.88,0.92]	0
(0.92,0.96]	0
(0.96,1]	0
