p_val	avg_logFC	pct.1	pct.2	p_val_adj	cluster	gene
Peak-82691-1	8.68159794042195e-25	0.062875650839	0.357	0.02	2.89630261529593e-19	Immune	Peak-82691-1
Peak-54768-1	9.30896194846158e-25	0.174750559053954	0.5	0.046	3.10560003147406e-19	Immune	Peak-54768-1
Peak-129015-1	1.03557763594483e-24	0.0521324525030363	0.357	0.02	3.45483197438098e-19	Immune	Peak-129015-1
Peak-39204-1	1.31991541857237e-24	0.198363667130761	0.536	0.055	4.40342262451602e-19	Immune	Peak-39204-1
Peak-40613-1	1.72308812595013e-24	0.176178518466604	0.714	0.1	5.74846322050726e-19	Immune	Peak-40613-1
Peak-14030-8	2.04752169022842e-24	0.0578749267638673	0.429	0.031	6.83081901163863e-19	Immune	Peak-14030-8
Peak-51694-1	2.26786172068037e-24	0.112846890324872	0.5	0.046	7.56590420083062e-19	Immune	Peak-51694-1
Peak-26223-2	3.30750151429253e-24	0.187764426336155	0.679	0.099	1.10342881018919e-18	Immune	Peak-26223-2
Peak-40425-1	3.37830972665848e-24	0.0989942009860424	0.429	0.033	1.12705142114944e-18	Immune	Peak-40425-1
Peak-119074-1	3.94576990127002e-24	0.0698688151800126	0.357	0.021	1.3163640798423e-18	Immune	Peak-119074-1
Peak-61055-2	5.40719828389445e-24	0.135064158711373	0.429	0.034	1.80391704828316e-18	Immune	Peak-61055-2
Peak-39178-1	5.6925888440016e-24	0.132796612392323	0.464	0.04	1.89912733460275e-18	Immune	Peak-39178-1
Peak-90971-1	5.73498240411169e-24	0.0744071225678986	0.393	0.027	1.91327041976532e-18	Immune	Peak-90971-1
Peak-52373-2	7.92551207844405e-24	0.105775853003476	0.5	0.047	2.64406178653803e-18	Immune	Peak-52373-2
Peak-58137-1	8.1237459068979e-24	0.100455546921672	0.429	0.034	2.71019536698383e-18	Immune	Peak-58137-1
Peak-3606-3	8.74340432221025e-24	0.062570615123693	0.393	0.027	2.91692208954985e-18	Immune	Peak-3606-3
Peak-36282-1	1.09291745967736e-23	0.159036348566289	0.571	0.067	3.64612565392803e-18	Immune	Peak-36282-1
Peak-23310-2	1.24545421536105e-23	0.228175985055748	0.714	0.113	4.1550096260346e-18	Immune	Peak-23310-2
Peak-90870-2	1.7321251110828e-23	0.170000528512187	0.464	0.042	5.77861186808778e-18	Immune	Peak-90870-2
Peak-39548-1	2.31561438444665e-23	0.132854308850127	0.536	0.056	7.72521377252785e-18	Immune	Peak-39548-1
Peak-18407-4	2.46351746091604e-23	0.0762784663440046	0.393	0.027	8.21863914206044e-18	Immune	Peak-18407-4
Peak-74525-1	3.1689562783922e-23	0.0790538239694672	0.393	0.028	1.05720817985953e-17	Immune	Peak-74525-1
Peak-97145-1	3.52982788489374e-23	0.0809112275540803	0.393	0.028	1.17759999999094e-17	Immune	Peak-97145-1
Peak-49906-2	5.08894353108004e-23	0.0794795989405773	0.393	0.028	1.69774280717774e-17	Immune	Peak-49906-2
Peak-59467-1	5.10385837219434e-23	0.118233183072569	0.5	0.051	1.70271860698124e-17	Immune	Peak-59467-1
Peak-38289-1	7.40026319375821e-23	0.157290716432991	0.643	0.092	2.46883140512245e-17	Immune	Peak-38289-1
Peak-62199-2	8.87286234851214e-23	0.137323662164605	0.571	0.069	2.96011109953653e-17	Immune	Peak-62199-2
Peak-75920-1	1.00727962479267e-22	0.0660824230125323	0.321	0.018	3.36042584745582e-17	Immune	Peak-75920-1
Peak-108455-1	1.09520030811937e-22	0.0548433576696638	0.286	0.013	3.65374155592936e-17	Immune	Peak-108455-1
Peak-39970-2	1.2147059299023e-22	0.215756740300517	0.571	0.074	4.05242904098427e-17	Immune	Peak-39970-2
Peak-31466-5	1.22686722588227e-22	0.148880319695487	0.607	0.08	4.09300082695488e-17	Immune	Peak-31466-5
Peak-95930-1	1.36633389288795e-22	0.0732363676968169	0.321	0.018	4.55828115341922e-17	Immune	Peak-95930-1
Peak-67913-1	1.51507533448732e-22	0.147515708612074	0.429	0.037	5.05450342639652e-17	Immune	Peak-67913-1
Peak-37105-1	1.54532811904937e-22	0.0507567459668515	0.393	0.028	5.15543095108536e-17	Immune	Peak-37105-1
Peak-116337-1	1.62524146220898e-22	0.0856190873732013	0.357	0.024	5.42203305173386e-17	Immune	Peak-116337-1
Peak-58176-1	1.69890300310185e-22	0.102372291674621	0.429	0.037	5.66777826476821e-17	Immune	Peak-58176-1
Peak-80463-1	1.77290065224972e-22	0.0845731839919385	0.393	0.029	5.91464478199638e-17	Immune	Peak-80463-1
Peak-85729-1	1.85163540615682e-22	0.0524770679211757	0.321	0.018	6.17731494389602e-17	Immune	Peak-85729-1
Peak-60119-1	1.95950116950961e-22	0.0728586671757372	0.429	0.036	6.53717023164779e-17	Immune	Peak-60119-1
Peak-113887-1	2.04863375485447e-22	0.0650537710761282	0.321	0.018	6.83452901492019e-17	Immune	Peak-113887-1
Peak-98514-1	2.26635440636978e-22	0.0630924963828813	0.321	0.018	7.56087558926649e-17	Immune	Peak-98514-1
Peak-46866-1	2.29952030618739e-22	0.132364357775092	0.571	0.071	7.67152167428401e-17	Immune	Peak-46866-1
Peak-37439-1	2.50476927973402e-22	0.0789909466609356	0.357	0.024	8.35626098489184e-17	Immune	Peak-37439-1
Peak-9917-3	2.88197203759312e-22	0.131527920462353	0.393	0.03	9.61466219349591e-17	Immune	Peak-9917-3
Peak-20825-2	3.05469603588505e-22	0.1869055044599	0.714	0.118	1.01908936331576e-16	Immune	Peak-20825-2
Peak-76760-1	3.89025061105637e-22	0.149625583023269	0.5	0.052	1.29784206735696e-16	Immune	Peak-76760-1
Peak-45822-5	4.21491761973531e-22	0.101495344212109	0.536	0.06	1.40615552679037e-16	Immune	Peak-45822-5
Peak-72171-1	5.20498228722676e-22	0.0661168297379332	0.429	0.036	1.73645496077087e-16	Immune	Peak-72171-1
Peak-30679-1	5.69021352475662e-22	0.128680106477013	0.5	0.055	1.89833489484816e-16	Immune	Peak-30679-1
Peak-77155-1	7.54035594741971e-22	0.0701162656571657	0.393	0.03	2.51556830904248e-16	Immune	Peak-77155-1
Peak-29237-1	7.65113372154289e-22	0.159532362769434	0.607	0.085	2.55252532537881e-16	Immune	Peak-29237-1
Peak-47432-1	9.20104187534349e-22	0.122561808620149	0.464	0.046	3.06959638420084e-16	Immune	Peak-47432-1
Peak-86483-1	1.03462228415795e-21	0.0853302859357627	0.357	0.025	3.4516447870707e-16	Immune	Peak-86483-1
Peak-63393-1	1.09485619769377e-21	0.109966412593324	0.464	0.044	3.65259355537409e-16	Immune	Peak-63393-1
Peak-57914-1	1.35424212175886e-21	0.0869594476691919	0.429	0.037	4.51794131208461e-16	Immune	Peak-57914-1
Peak-55612-1	1.90112700207941e-21	0.0646961392743222	0.286	0.015	6.34242583671721e-16	Immune	Peak-55612-1
Peak-45277-1	1.95545550568476e-21	0.118792368868253	0.607	0.084	6.52367333073514e-16	Immune	Peak-45277-1
Peak-38603-1	1.98857246963539e-21	0.125146910701668	0.464	0.046	6.63415615884942e-16	Immune	Peak-38603-1
Peak-123300-1	2.14981911184714e-21	0.111616104417129	0.357	0.026	7.17209753179772e-16	Immune	Peak-123300-1
Peak-96841-1	2.18250948855408e-21	0.0581232737293867	0.357	0.025	7.28115720514481e-16	Immune	Peak-96841-1
Peak-56518-1	2.19541513980358e-21	0.135068380506098	0.464	0.047	7.32421226450432e-16	Immune	Peak-56518-1
Peak-167938-1	2.42047269192532e-21	0.0645272083221875	0.286	0.015	8.07503576643974e-16	Immune	Peak-167938-1
Peak-70623-3	2.69938317802068e-21	0.124126142752699	0.429	0.039	9.00552019552191e-16	Immune	Peak-70623-3
