p_val	avg_logFC	pct.1	pct.2	p_val_adj	cluster	gene
Peak-8959	7.72484577333407e-125	0.339844873938494	0.925	0.432	3.88776038080357e-120	Fibro-COL14A1	Peak-8959
Peak-14315	9.43095454156367e-125	0.250377285430643	0.794	0.231	4.74641080167817e-120	Fibro-COL14A1	Peak-14315
Peak-12420	2.28906915234187e-123	0.321848817542208	0.883	0.37	1.15204272299062e-118	Fibro-COL14A1	Peak-12420
Peak-18924	2.77445192437475e-123	0.280421156754602	0.79	0.239	1.39632616449932e-118	Fibro-COL14A1	Peak-18924
Peak-6328	3.78041387159954e-123	0.390682088784672	0.978	0.677	1.90260669329861e-118	Fibro-COL14A1	Peak-6328
Peak-10266	1.13242767932529e-122	0.282375183132479	0.859	0.32	5.69928202450833e-118	Fibro-COL14A1	Peak-10266
Peak-20855	3.91172651196256e-122	0.255385085564515	0.711	0.194	1.96869371894051e-117	Fibro-COL14A1	Peak-20855
Peak-11995	5.78561633282868e-121	0.286163533611571	0.889	0.337	2.91178498798602e-116	Fibro-COL14A1	Peak-11995
Peak-6982	8.26088744893736e-121	0.316925028147391	0.958	0.518	4.15753943530119e-116	Fibro-COL14A1	Peak-6982
Peak-13252	3.89167186915305e-119	0.285224292486068	0.861	0.321	1.95860061830735e-114	Fibro-COL14A1	Peak-13252
Peak-13291	1.4171467168721e-118	0.292325083147145	0.905	0.384	7.13221599667389e-114	Fibro-COL14A1	Peak-13291
Peak-9719	2.00574671201996e-118	0.369902518730904	0.949	0.521	1.0094522052254e-113	Fibro-COL14A1	Peak-9719
Peak-10888	4.94622728421339e-118	0.355112299973709	0.956	0.48	2.48933726759892e-113	Fibro-COL14A1	Peak-10888
Peak-15422	9.87591576030835e-118	0.259402934140719	0.786	0.25	4.97035088384799e-113	Fibro-COL14A1	Peak-15422
Peak-8540	2.16535740798357e-117	0.292316704876544	0.905	0.406	1.08978107628997e-112	Fibro-COL14A1	Peak-8540
Peak-9183	2.8200946261514e-117	0.262502421436673	0.881	0.394	1.41929722344948e-112	Fibro-COL14A1	Peak-9183
Peak-9314	3.57018871769214e-117	0.276301139346676	0.899	0.384	1.7968045778401e-112	Fibro-COL14A1	Peak-9314
Peak-22157	4.48991672513526e-117	0.254615961998607	0.745	0.213	2.25968528942607e-112	Fibro-COL14A1	Peak-22157
Peak-16065	1.41872193101145e-116	0.278659008571271	0.784	0.26	7.14014373439445e-112	Fibro-COL14A1	Peak-16065
Peak-11510	1.22178123416823e-114	0.258986501008191	0.855	0.32	6.14898059532185e-110	Fibro-COL14A1	Peak-11510
Peak-12193	1.95066856875118e-113	0.303717237626027	0.891	0.43	9.81732477281095e-109	Fibro-COL14A1	Peak-12193
Peak-18146	2.94467148883665e-112	0.261193947044307	0.77	0.256	1.48199426690171e-107	Fibro-COL14A1	Peak-18146
Peak-16775	1.87945881987242e-111	0.252541654738853	0.78	0.254	9.45894034865393e-107	Fibro-COL14A1	Peak-16775
Peak-10627	4.8511378990023e-111	0.26483064494697	0.861	0.365	2.44148068180988e-106	Fibro-COL14A1	Peak-10627
Peak-11580	2.0034095079557e-110	0.31895417818073	0.933	0.444	1.00827593716395e-105	Fibro-COL14A1	Peak-11580
Peak-13439	1.13440627237287e-109	0.265652317866247	0.853	0.352	5.70923988759818e-105	Fibro-COL14A1	Peak-13439
Peak-11111	1.80491804958854e-108	0.297663230606039	0.931	0.463	9.08379155996919e-104	Fibro-COL14A1	Peak-11111
Peak-10502	2.79331648120206e-108	0.272489394167226	0.863	0.361	1.40582031865937e-103	Fibro-COL14A1	Peak-10502
Peak-16150	5.04099518280182e-107	0.357887599566287	0.893	0.399	2.5370320556005e-102	Fibro-COL14A1	Peak-16150
Peak-9468	1.08821870423384e-106	0.332332437698146	0.964	0.592	5.47678709466808e-102	Fibro-COL14A1	Peak-9468
Peak-7671	1.62865295113371e-106	0.308783841052146	0.95	0.488	8.19668457246576e-102	Fibro-COL14A1	Peak-7671
Peak-9251	1.70048206894872e-105	0.288703882819577	0.929	0.462	8.55818615660511e-101	Fibro-COL14A1	Peak-9251
Peak-18794	1.9283981274554e-103	0.251889394438179	0.752	0.259	9.70524209585754e-99	Fibro-COL14A1	Peak-18794
Peak-12670	2.46876738180466e-103	0.621224093737155	1	0.845	1.24248124791465e-98	Fibro-COL14A1	Peak-12670
Peak-9384	3.60123925768758e-103	0.265309819021439	0.891	0.44	1.81243169360901e-98	Fibro-COL14A1	Peak-9384
Peak-12431	3.66927534815844e-103	0.251364484602067	0.834	0.355	1.84667289722118e-98	Fibro-COL14A1	Peak-12431
Peak-10789	4.16314196408418e-102	0.271413404280899	0.895	0.454	2.09522608768429e-97	Fibro-COL14A1	Peak-10789
Peak-9740	2.96690690064209e-100	0.270660980158769	0.909	0.442	1.49318490495515e-95	Fibro-COL14A1	Peak-9740
Peak-8068	4.92708964076461e-100	0.265319599545856	0.937	0.45	2.47970567440401e-95	Fibro-COL14A1	Peak-8068
Peak-13871	6.68659725407636e-99	0.272661756731711	0.873	0.399	3.36523066603155e-94	Fibro-COL14A1	Peak-13871
Peak-5280	4.21313566567453e-98	0.264016566393193	0.954	0.55	2.12038691782068e-93	Fibro-COL14A1	Peak-5280
Peak-4846	7.44285627825328e-97	0.286372444500229	0.99	0.606	3.74584070771931e-92	Fibro-COL14A1	Peak-4846
Peak-7705	3.60086555198918e-96	0.263221108477412	0.937	0.519	1.81224361500511e-91	Fibro-COL14A1	Peak-7705
Peak-2762	1.08074764636016e-94	0.412542797811865	1	0.974	5.43918675460139e-90	Fibro-COL14A1	Peak-2762
Peak-10236	1.11529447877021e-94	0.251118004265159	0.846	0.405	5.61305405275474e-90	Fibro-COL14A1	Peak-10236
Peak-6098	6.18010773321293e-94	0.304437027314197	0.978	0.615	3.1103246199714e-89	Fibro-COL14A1	Peak-6098
Peak-11024	4.05365289988298e-93	0.250881950206601	0.861	0.411	2.04012243145311e-88	Fibro-COL14A1	Peak-11024
Peak-9563	3.61161119534363e-92	0.293746391754493	0.968	0.614	1.81765168239254e-87	Fibro-COL14A1	Peak-9563
Peak-9889	5.17433545605821e-92	0.269584541334933	0.891	0.425	2.60413954832498e-87	Fibro-COL14A1	Peak-9889
Peak-14710	5.31101524274479e-92	0.275165689100788	0.81	0.339	2.6729277513686e-87	Fibro-COL14A1	Peak-14710
Peak-12071	2.79051827815202e-90	0.309900941989598	0.962	0.685	1.40441203902835e-85	Fibro-COL14A1	Peak-12071
Peak-8573	2.9846510081744e-90	0.302704430455785	0.966	0.653	1.50211515939401e-85	Fibro-COL14A1	Peak-8573
Peak-12723	8.65890587513384e-90	0.254861357189276	0.857	0.432	4.35785414883736e-85	Fibro-COL14A1	Peak-12723
Peak-14244	3.59815759371175e-88	0.275713808515194	0.883	0.463	1.81088075376325e-83	Fibro-COL14A1	Peak-14244
Peak-11921	7.84773403076235e-88	0.253446508356752	0.859	0.412	3.94960758300207e-83	Fibro-COL14A1	Peak-11921
Peak-11783	4.75597417477271e-86	0.261146969745941	0.877	0.461	2.39358668267961e-81	Fibro-COL14A1	Peak-11783
Peak-9113	8.459831017101e-86	0.275582840639197	0.844	0.407	4.25766375428659e-81	Fibro-COL14A1	Peak-9113
Peak-13262	1.2898963131029e-85	0.286086888198514	0.921	0.529	6.49179016458429e-81	Fibro-COL14A1	Peak-13262
Peak-12483	4.67185475342892e-84	0.250048076131225	0.871	0.45	2.35125106030571e-79	Fibro-COL14A1	Peak-12483
Peak-9095	1.02515458919225e-81	0.257847073802	0.939	0.599	5.15939801648675e-77	Fibro-COL14A1	Peak-9095
Peak-9115	1.78308171832324e-80	0.267733241363648	0.947	0.593	8.97389367197722e-76	Fibro-COL14A1	Peak-9115
Peak-842	1.46953727109505e-79	0.267575962280062	0.998	0.965	7.39588717796716e-75	Fibro-COL14A1	Peak-842
Peak-10130	3.9175903729521e-79	0.257470862126672	0.909	0.509	1.97164488289933e-74	Fibro-COL14A1	Peak-10130
Peak-10240	5.20716297827319e-79	0.267015128864016	0.921	0.524	2.62066098370533e-74	Fibro-COL14A1	Peak-10240
Peak-18213	3.47018037367542e-77	0.257043232439066	0.78	0.351	1.74647237846337e-72	Fibro-COL14A1	Peak-18213
Peak-8743	2.08690998059885e-75	0.280907815454051	0.956	0.702	1.05030005503579e-70	Fibro-COL14A1	Peak-8743
Peak-6269	3.20468294737344e-72	0.257775216735728	0.976	0.717	1.6128528337541e-67	Fibro-COL14A1	Peak-6269
Peak-23175	1.75761107135244e-71	0.543272365047485	0.947	0.667	8.84570499990258e-67	Fibro-COL14A1	Peak-23175
Peak-5301	1.270417885034e-70	0.254266985248969	0.966	0.579	6.39375913179913e-66	Fibro-COL14A1	Peak-5301
Peak-4746	8.93350836818169e-67	0.265827590588334	0.996	0.891	4.49605609153848e-62	Fibro-COL14A1	Peak-4746
Peak-7837	1.02159265315231e-63	0.282959563862836	0.99	0.883	5.14147150478495e-59	Fibro-COL14A1	Peak-7837
Peak-5621	5.35353555082599e-59	0.252599019621873	0.974	0.81	2.6943273720197e-54	Fibro-COL14A1	Peak-5621
Peak-12210	4.15890482932235e-54	0.254284272582842	0.976	0.68	2.09309362250135e-49	Fibro-COL14A1	Peak-12210
Peak-3572	4.12539440856672e-34	0.261566774903154	0.998	0.991	2.07622849794346e-29	Fibro-COL14A1	Peak-3572
Peak-6087	2.25951413040362e-30	0.29190308459837	0.998	0.995	1.13716827154953e-25	Fibro-COL14A1	Peak-6087
Peak-4940	3.64757992085891e-28	0.297138455967343	0.99	0.911	1.83575402256987e-23	Fibro-COL14A1	Peak-4940
Peak-6915	1.63454963747505e-27	0.380186010034801	0.923	0.848	8.22636141548444e-23	Fibro-COL14A1	Peak-6915
Peak-42131	1.11354703244531e-168	0.405720764664291	0.877	0.082	5.60425950489076e-164	SM-Vascular	Peak-42131
Peak-35320	8.95377547277644e-158	0.316505904836081	0.819	0.072	4.50625611993893e-153	SM-Vascular	Peak-35320
Peak-32977	4.33092624035082e-156	0.452995790029143	0.841	0.083	2.17966855824376e-151	SM-Vascular	Peak-32977
Peak-36613	3.33419422064707e-147	0.350139599368554	0.833	0.085	1.67803326736726e-142	SM-Vascular	Peak-36613
