prob	cor_quantile
0	-0.375857329924601
0.01	-0.0598134603758879
0.02	-0.0508753719162854
0.03	-0.0454125595357396
0.04	-0.0413758846942863
0.05	-0.0381292555730607
0.06	-0.0353803933004657
0.07	-0.0329804891362981
0.08	-0.0308465344593405
0.09	-0.0289098735261292
0.1	-0.0271309432756433
0.11	-0.0254845951442573
0.12	-0.0239398908686991
0.13	-0.0224918139390855
0.14	-0.021114277546443
0.15	-0.0198062964463314
0.16	-0.0185577195346178
0.17	-0.0173609953599628
0.18	-0.0162108177685889
0.19	-0.0150971443757608
0.2	-0.0140219669921522
0.21	-0.0129764316557174
0.22	-0.0119599166155295
0.23	-0.0109707973085696
0.24	-0.0100043124021969
0.25	-0.00906196148906189
0.26	-0.00813786193585533
0.27	-0.00723071974187536
0.28	-0.00634308241137929
0.29	-0.00547268752940563
0.3	-0.00461143162551268
0.31	-0.00376672059607146
0.32	-0.00293390510300657
0.33	-0.00211039117117874
0.34	-0.00129573963061814
0.35	-0.000493050221702584
0.36	0.000302107553240818
0.37	0.00108915094507299
0.38	0.0018697963440396
0.39	0.00264431625816256
0.4	0.00341378187192838
0.41	0.00417855516863085
0.42	0.00493936647642825
0.43	0.0056958470580278
0.44	0.00644792322517188
0.45	0.00719707878371115
0.46	0.00794475573646139
0.47	0.00869100604487529
0.48	0.00943581967093605
0.49	0.0101787405921616
0.5	0.010920590115076
0.51	0.0116612205890358
0.52	0.012404551107558
0.53	0.0131503674235596
0.54	0.0138986190005957
0.55	0.0146476140226115
0.56	0.0154006733883453
0.57	0.016155836352391
0.58	0.0169128081646579
0.59	0.0176749939924397
0.6	0.0184419806482897
0.61	0.0192145290098846
0.62	0.0199963531656077
0.63	0.0207816822096877
0.64	0.0215743118378327
0.65	0.0223745809765665
0.66	0.023181885992317
0.67	0.0239988879676551
0.68	0.0248283447191246
0.69	0.0256696412249249
0.7	0.0265223603707494
0.71	0.0273861699960616
0.72	0.028264997542234
0.73	0.0291595832856229
0.74	0.0300717626083722
0.75	0.0310046422091741
0.76	0.0319562584149114
0.77	0.032929211014496
0.78	0.0339286550268788
0.79	0.0349568632651789
0.8	0.0360145088245703
0.81	0.0371050631054217
0.82	0.0382305004616758
0.83	0.0394019990465912
0.84	0.0406174698936201
0.85	0.041881864439112
0.86	0.0432085197048444
0.87	0.044600474710113
0.88	0.046072041436345
0.89	0.0476387340368761
0.9	0.0493158393268516
0.91	0.0511196702473238
0.92	0.0530847855886181
0.93	0.055255711252306
0.94	0.0576885217695871
0.95	0.0604801650531368
0.96	0.0637779450216665
0.97	0.067870034982219
0.98	0.0733997571453221
0.99	0.0823837237053424
1	0.808600754451182
