cor_bin	Freq
[-1,-0.96]	0
(-0.96,-0.92]	0
(-0.92,-0.88]	0
(-0.88,-0.84]	0
(-0.84,-0.8]	0
(-0.8,-0.76]	0
(-0.76,-0.72]	0
(-0.72,-0.68]	0
(-0.68,-0.64]	0
(-0.64,-0.6]	0
(-0.6,-0.56]	0
(-0.56,-0.52]	0
(-0.52,-0.48]	0
(-0.48,-0.44]	0
(-0.44,-0.4]	0
(-0.4,-0.36]	6.84052312216524e-08
(-0.36,-0.32]	1.82413949924407e-07
(-0.32,-0.28]	6.61250568475974e-07
(-0.28,-0.24]	1.59612206183856e-06
(-0.24,-0.2]	6.79491963468414e-06
(-0.2,-0.16]	2.72024802824771e-05
(-0.16,-0.12]	0.000155143064410708
(-0.12,-0.08]	0.00189094860840388
(-0.08,-0.04]	0.0419283252267434
(-0.04,0]	0.312172790701996
(0,0.04]	0.478769285002301
(0.04,0.08]	0.152984081304634
(0.08,0.12]	0.0113361833232835
(0.12,0.16]	0.000521681095040062
(0.16,0.2]	0.00011093048329778
(0.2,0.24]	4.43721933191119e-05
(0.24,0.28]	2.28473472280319e-05
(0.28,0.32]	1.09904404829455e-05
(0.32,0.36]	6.47569522231643e-06
(0.36,0.4]	3.16944237993656e-06
(0.4,0.44]	2.05215693664957e-06
(0.44,0.48]	1.36810462443305e-06
(0.48,0.52]	1.04888021206534e-06
(0.52,0.56]	6.38448824735423e-07
(0.56,0.6]	3.19224412367711e-07
(0.6,0.64]	2.96422668627161e-07
(0.64,0.68]	1.82413949924407e-07
(0.68,0.72]	1.82413949924407e-07
(0.72,0.76]	6.84052312216524e-08
(0.76,0.8]	9.12069749622033e-08
(0.8,0.84]	2.28017437405508e-08
(0.84,0.88]	0
(0.88,0.92]	0
(0.92,0.96]	0
(0.96,1]	0
