cor_bin	Freq
[-1,-0.96]	0
(-0.96,-0.92]	0
(-0.92,-0.88]	0
(-0.88,-0.84]	0
(-0.84,-0.8]	0
(-0.8,-0.76]	0
(-0.76,-0.72]	0
(-0.72,-0.68]	0
(-0.68,-0.64]	0
(-0.64,-0.6]	0
(-0.6,-0.56]	0
(-0.56,-0.52]	0
(-0.52,-0.48]	0
(-0.48,-0.44]	0
(-0.44,-0.4]	0
(-0.4,-0.36]	6.79980364886984e-08
(-0.36,-0.32]	2.71992145954793e-07
(-0.32,-0.28]	7.02646377049883e-07
(-0.28,-0.24]	1.67728490005456e-06
(-0.24,-0.2]	6.23315334479735e-06
(-0.2,-0.16]	2.54992636832619e-05
(-0.16,-0.12]	0.000139078650631551
(-0.12,-0.08]	0.00138634396793158
(-0.08,-0.04]	0.0340386157675978
(-0.04,0]	0.312868644271695
(0,0.04]	0.502312261897792
(0.04,0.08]	0.1405520547522
(0.08,0.12]	0.00803977051025341
(0.12,0.16]	0.000418369252502798
(0.16,0.2]	0.000112400754315818
(0.2,0.24]	4.62839968366407e-05
(0.24,0.28]	2.298333633318e-05
(0.28,0.32]	1.19903204341738e-05
(0.32,0.36]	6.59580953940374e-06
(0.36,0.4]	3.60389593390101e-06
(0.4,0.44]	2.17593716763835e-06
(0.44,0.48]	1.58662085140296e-06
(0.48,0.52]	7.93310425701481e-07
(0.52,0.56]	8.3864245002728e-07
(0.56,0.6]	3.17324170280592e-07
(0.6,0.64]	2.94658158117693e-07
(0.64,0.68]	1.58662085140296e-07
(0.68,0.72]	2.03994109466095e-07
(0.72,0.76]	6.79980364886984e-08
(0.76,0.8]	9.06640486515978e-08
(0.8,0.84]	2.26660121628995e-08
(0.84,0.88]	0
(0.88,0.92]	0
(0.92,0.96]	0
(0.96,1]	0
