cor_bin	Freq
[-1,-0.96]	0
(-0.96,-0.92]	0
(-0.92,-0.88]	0
(-0.88,-0.84]	0
(-0.84,-0.8]	0
(-0.8,-0.76]	0
(-0.76,-0.72]	0
(-0.72,-0.68]	0
(-0.68,-0.64]	0
(-0.64,-0.6]	0
(-0.6,-0.56]	0
(-0.56,-0.52]	0
(-0.52,-0.48]	0
(-0.48,-0.44]	0
(-0.44,-0.4]	0
(-0.4,-0.36]	9.13044391305261e-08
(-0.36,-0.32]	3.42391646739473e-07
(-0.32,-0.28]	7.76087732609472e-07
(-0.28,-0.24]	1.98587155108894e-06
(-0.24,-0.2]	8.90218281522629e-06
(-0.2,-0.16]	3.69098195185152e-05
(-0.16,-0.12]	0.000294913338391599
(-0.12,-0.08]	0.00505061918105396
(-0.08,-0.04]	0.0682971128623303
(-0.04,0]	0.30725521051608
(0,0.04]	0.416845942932899
(0.04,0.08]	0.17610473806126
(0.08,0.12]	0.0244050374485157
(0.12,0.16]	0.00144881884012319
(0.16,0.2]	0.000146361015926233
(0.2,0.24]	5.05141809489636e-05
(0.24,0.28]	2.34195886369799e-05
(0.28,0.32]	1.20521859652294e-05
(0.32,0.36]	6.25435408044104e-06
(0.36,0.4]	3.44674257717736e-06
(0.4,0.44]	2.16848042934999e-06
(0.44,0.48]	1.46087102608842e-06
(0.48,0.52]	1.02717494021842e-06
(0.52,0.56]	7.07609403261577e-07
(0.56,0.6]	3.65217756522104e-07
(0.6,0.64]	2.73913317391578e-07
(0.64,0.68]	2.05434988043684e-07
(0.68,0.72]	1.59782768478421e-07
(0.72,0.76]	6.84783293478946e-08
(0.76,0.8]	9.13044391305261e-08
(0.8,0.84]	2.28261097826315e-08
(0.84,0.88]	0
(0.88,0.92]	0
(0.92,0.96]	0
(0.96,1]	0
