RNA_cell	ATAC_cell	score
WT_C-B1_66	WT_4_9-5	0.407965554359526
WT_C-D7_93	WT_4_9-6	0.354144241119483
WDOU_C-C4_41	WT_4_9-7	1
WDOU_C-D2_71	WT_4_9-7	1
WT_C-D7_33	WT_4_9-7	1
WT_C-D10_19	WT_4_9-7	1
WT_C-D11_10	WT_4_9-7	1
WT_C-B1_48	WT_4_10-3	0.085037674919268
WDOU_C-B6_27	WT_4_10-5	0.085037674919268
WDOU_C-C8_86	WT_4_10-6	0.165769644779333
WT_C-C10_40	WT_4_10-6	0.138858988159311
WT_C-D7_57	WT_4_10-6	0.219590958019376
WD_C-B1_26	WT_4_10-6	0.11194833153929
WD_C-B5_30	WT_4_10-6	0.219590958019376
WD_C-C6_10	WT_4_10-7	0.461786867599569
WD_C-C6_19	WT_4_11-1	0.30032292787944
WT_C-D9_07	WT_4_11-2	0.192680301399354
WT_C-D3_06	WT_4_12-7	0.65016146393972
WT_C-D7_39	WT_4_12-7	0.865446716899892
WT_C-C2_38	WT_5_1-2	0.246501614639397
WT_C-C4_35	WT_5_1-2	0.11194833153929
WDOU_C-B1_64	WT_5_1-4	0.838536060279871
WDOU_C-B2_94	WT_5_1-4	0.892357373519914
WDOU_C-B3_43	WT_5_1-4	0.811625403659849
WDOU_C-C6_50	WT_5_1-4	0.919268030139935
WDOU_C-D3_93	WT_5_2-7	1
WD_C-B8_20	WT_5_3-1	0.542518837459634
WDOU_C-C9_77	WT_5_3-5	1
WT_C-B6_93	WT_5_3-5	1
WDOU_C-B7_54	WT_5_4-2	0.569429494079656
WT_C-D8_47	WT_5_4-3	1
WD_C-B6_16	WT_5_4-3	0.973089343379978
WD_C-B6_58	WT_5_4-3	1
WD_C-C3_59	WT_5_4-3	1
WDOU_C-B3_79	WT_5_4-6	0.11194833153929
WT_C-C10_33	WT_5_5-3	0.30032292787944
WD_C-B8_55	WT_5_5-3	0.165769644779333
WD_C-C2_48	WT_5_5-3	0.30032292787944
WD_C-C7_74	WT_5_5-3	0.11194833153929
WT_C-C9_44	WT_5_5-6	0.434876210979548
WDOU_C-B6_52	WT_5_6-7	0.461786867599569
WDOU_C-D3_16	WT_5_6-7	0.354144241119483
WT_C-D3_27	WT_5_6-7	0.327233584499462
WD_C-B8_02	WT_5_7-3	0.192680301399354
WD_C-B8_55	WT_5_7-3	0.11194833153929
WT_C-B3_12	WT_5_7-3	0.165769644779333
WDOU_C-B1_42	WT_5_7-5	0.461786867599569
WDOU_C-C7_41	WT_5_7-5	0.407965554359526
WDOU_C-C8_95	WT_5_7-5	0.381054897739505
WT_C-C1_87	WT_5_7-5	0.515608180839613
WT_C-D11_41	WT_5_7-5	0.461786867599569
WT_C-C2_12	WT_5_8-1	0.488697524219591
WD_C-C5_16	WT_5_8-1	0.381054897739505
WDOU_C-C5_24	WT_5_8-2	0.973089343379978
WDOU_C-D4_19	WT_5_8-2	0.973089343379978
WT_C-C9_51	WT_5_8-2	0.677072120559742
WT_C-C10_77	WT_5_8-2	0.946178686759957
WT_C-B5_34	WT_5_8-2	0.919268030139935
WDOU_C-B6_14	WT_5_8-7	0.892357373519914
WDOU_C-C2_84	WT_5_8-7	0.973089343379978
WDOU_C-C5_24	WT_5_8-7	0.919268030139935
WDOU_C-D4_93	WT_5_8-7	0.838536060279871
WT_C-C11_44	WT_5_8-7	0.811625403659849
WT_C-C4_15	WT_5_9-7	0.11194833153929
WT_C-C5_48	WT_5_9-7	0.085037674919268
WT_C-C5_92	WT_5_9-7	0.085037674919268
WD_C-C3_51	WT_5_9-7	0.192680301399354
WD_C-B3_16	WT_5_10-3	0.515608180839613
WDOU_C-D2_32	WT_5_10-7	0.515608180839613
WD_C-C3_49	WT_5_11-7	0.219590958019376
WDOU_C-B6_15	WT_5_11-8	0.784714747039828
WDOU_C-B6_22	WT_5_11-8	0.811625403659849
WT_C-B6_75	WT_5_11-8	0.946178686759957
WDOU_C-C7_37	WT_5_12-3	0.65016146393972
WT_C-C9_83	WT_5_12-3	0.515608180839613
WD_C-B3_16	WT_5_12-3	0.703982777179763
WD_C-B6_38	WT_5_12-3	0.246501614639397
WD_C-C5_56	WT_5_12-3	0.407965554359526
WDOU_C-C1_09	WD_4_1-2	0.757804090419806
WT_C-D1_16	WD_4_1-2	0.784714747039828
WD_C-B4_51	WD_4_1-5	0.00430570505920345
WDOU_C-D1_51	WD_4_1-7	1
WT_C-B4_86	WD_4_1-7	1
WDOU_C-C4_10	WD_4_2-2	0.031216361679225
WDOU_C-D2_10	WD_4_2-8	0.703982777179763
WT_C-C10_81	WD_4_2-8	0.730893433799785
WT_C-D5_50	WD_4_2-8	0.677072120559742
WD_C-B6_47	WD_4_2-8	0.623250807319699
WT_C-C9_74	WD_4_3-3	1
WDOU_C-C9_89	WD_4_3-6	0.488697524219591
WT_C-C3_75	WD_4_3-6	0.569429494079656
WD_C-B7_07	WD_4_4-1	0.273412271259419
WD_C-C6_45	WD_4_4-1	0.11194833153929
WDOU_C-B8_12	WD_4_5-4	0.65016146393972
WDOU_C-B8_54	WD_4_5-4	0.569429494079656
WDOU_C-D4_60	WD_4_5-4	0.596340150699677
WT_C-D1_16	WD_4_5-4	0.677072120559742
WD_C-B6_84	WD_4_5-5	0.11194833153929
WT_C-B2_65	WD_4_5-5	0.219590958019376
WT_C-C9_96	WD_4_5-7	0.596340150699677
WDOU_C-C2_84	WD_4_6-2	1
WDOU_C-C5_24	WD_4_6-2	0.919268030139935
WDOU_C-D6_07	WD_4_6-2	0.757804090419806
WT_C-C10_62	WD_4_6-2	0.973089343379978
WT_C-C11_44	WD_4_6-2	1
WDOU_C-D3_21	WD_4_6-4	0.138858988159311
WD_C-B5_83	WD_4_6-4	0.354144241119483
WD_C-B8_14	WD_4_6-4	0.219590958019376
WD_C-C2_03	WD_4_6-4	0.11194833153929
WD_C-C8_67	WD_4_6-4	0.273412271259419
WT_C-C10_31	WD_4_7-2	0.354144241119483
WT_C-B4_91	WD_4_7-2	0.30032292787944
WT_C-C1_50	WD_4_7-8	0.730893433799785
WT_C-D4_86	WD_4_9-4	0.354144241119483
WDOU_C-B8_54	WD_4_9-5	0.703982777179763
WDOU_C-C4_32	WD_4_9-5	0.434876210979548
WDOU_C-D7_04	WD_4_9-6	0.677072120559742
WDOU_C-B2_94	WD_4_10-7	1
WDOU_C-B5_82	WD_4_10-7	0.946178686759957
WDOU_C-C1_36	WD_4_11-2	0.784714747039828
WDOU_C-C1_66	WD_4_11-2	1
WDOU_C-C5_07	WD_4_11-2	0.730893433799785
WDOU_C-D3_35	WD_4_11-2	0.946178686759957
WT_C-D7_38	WD_4_11-2	0.838536060279871
WDOU_C-C5_23	WD_4_12-3	1
WDOU_C-D6_96	WD_4_12-3	0.757804090419806
WT_C-D4_16	WD_4_12-3	1
WT_C-B7_56	WD_4_12-3	0.865446716899892
WT_C-C1_85	WD_4_12-5	0.138858988159311
WT_C-B2_38	WD_5_1-2	0.30032292787944
WT_C-D4_45	WD_5_1-8	0.246501614639397
WT_C-D1_73	WD_5_2-6	0.031216361679225
WDOU_C-B1_65	WD_5_2-8	0.515608180839613
WT_C-C2_37	WD_5_3-3	0.246501614639397
WD_C-B4_79	WD_5_3-3	0.138858988159311
WD_C-C1_56	WD_5_3-3	0.569429494079656
WT_C-D4_86	WD_5_3-4	0.246501614639397
WT_C-D10_29	WD_5_3-4	0.381054897739505
WD_C-C5_11	WD_5_3-5	0.192680301399354
WDOU_C-B5_09	WD_5_3-7	0.219590958019376
WDOU_C-C10_94	WD_5_3-8	0.085037674919268
WDOU_C-D1_75	WD_5_3-8	0.192680301399354
WT_C-C11_62	WD_5_3-8	0
WD_C-B10_96	WD_5_4-5	0.515608180839613
WT_C-B4_90	WD_5_4-5	0.327233584499462
WT_C-D5_20	WD_5_5-4	0.434876210979548
WT_C-D10_19	WD_5_5-6	1
WDOU_C-B1_77	WD_5_5-7	0.461786867599569
WDOU_C-C9_55	WD_5_5-7	0.596340150699677
WDOU_C-C10_35	WD_5_5-7	0.273412271259419
WT_C-D6_47	WD_5_5-7	0.407965554359526
WT_C-D1_33	WD_5_7-1	0.085037674919268
WT_C-C1_68	WD_5_8-2	0.165769644779333
WT_C-C7_46	WD_5_8-2	0.138858988159311
WD_C-B6_38	WD_5_8-2	0.085037674919268
WDOU_C-D1_80	WD_5_9-5	0.11194833153929
WD_C-C2_83	WD_5_9-7	0.273412271259419
WT_C-C9_86	WD_5_9-8	0.085037674919268
WD_C-B1_18	WD_5_9-8	0.138858988159311
WDOU_C-C7_34	WD_5_11-1	0.11194833153929
WT_C-D4_59	WD_5_11-1	0.0581270182992465
WD_C-C6_10	WD_5_11-1	0.00430570505920345
WDOU_C-B5_06	WD_5_11-2	0.973089343379978
WD_C-C3_59	WD_5_11-2	0.973089343379978
WD_C-B5_26	WD_5_12-2	0.165769644779333
WT_C-B4_93	WD_5_12-4	0.246501614639397
WT_C-D4_44	WD_5_12-8	0.192680301399354
WT_C-B1_44	WT_10_1-3	0.273412271259419
WD_C-B4_05	WT_10_2-2	0.327233584499462
WD_C-B9_88	WT_10_2-2	0.246501614639397
WT_C-C2_15	WT_10_2-5	0.085037674919268
WT_C-C2_95	WT_10_2-5	0.273412271259419
WDOU_C-C10_26	WT_10_3-2	0.354144241119483
WDOU_C-D3_15	WT_10_3-2	0.219590958019376
WT_C-D6_42	WT_10_3-3	0.085037674919268
WDOU_C-D1_80	WT_10_3-5	0
WD_C-B1_81	WT_10_4-7	0
WDOU_C-C9_80	WT_10_5-4	0.246501614639397
WD_C-C7_41	WT_10_5-4	0.085037674919268
WDOU_C-C2_14	WT_10_6-2	1
WT_C-D12_32	WT_10_8-1	0.138858988159311
WD_C-B1_41	WT_10_8-1	0.30032292787944
WD_C-B9_91	WT_10_8-1	0.246501614639397
WT_C-B7_51	WT_10_8-1	0.273412271259419
WDOU_C-B8_25	WT_10_8-6	0.219590958019376
WDOU_C-C6_11	WT_10_8-6	0.515608180839613
WT_C-C1_87	WT_10_8-6	0.327233584499462
WDOU_C-C6_24	WT_10_9-3	0.65016146393972
WDOU_C-D2_10	WT_10_9-3	0.784714747039828
