cor_bin	Freq
[-1,-0.96]	0
(-0.96,-0.92]	0
(-0.92,-0.88]	0
(-0.88,-0.84]	0
(-0.84,-0.8]	0
(-0.8,-0.76]	0
(-0.76,-0.72]	0
(-0.72,-0.68]	0
(-0.68,-0.64]	0
(-0.64,-0.6]	0
(-0.6,-0.56]	0
(-0.56,-0.52]	0
(-0.52,-0.48]	0
(-0.48,-0.44]	0
(-0.44,-0.4]	0
(-0.4,-0.36]	9.07026681278262e-08
(-0.36,-0.32]	2.94783671415435e-07
(-0.32,-0.28]	5.21540341735001e-07
(-0.28,-0.24]	1.97278303178022e-06
(-0.24,-0.2]	7.23353778319414e-06
(-0.2,-0.16]	2.74375571086674e-05
(-0.16,-0.12]	0.000161858911274106
(-0.12,-0.08]	0.00190627530037549
(-0.08,-0.04]	0.042415742209956
(-0.04,0]	0.313937421870989
(0,0.04]	0.477826258857796
(0.04,0.08]	0.151741550184789
(0.08,0.12]	0.0112393984453925
(0.12,0.16]	0.000521064152727329
(0.16,0.2]	0.000114398740176221
(0.2,0.24]	4.693863075615e-05
(0.24,0.28]	2.33105857088513e-05
(0.28,0.32]	1.17913468566174e-05
(0.32,0.36]	6.50791643817153e-06
(0.36,0.4]	3.33332305369761e-06
(0.4,0.44]	2.26756670319565e-06
(0.44,0.48]	1.564621025205e-06
(0.48,0.52]	7.70972679086523e-07
(0.52,0.56]	8.16324013150436e-07
(0.56,0.6]	2.94783671415435e-07
(0.6,0.64]	3.40135005479348e-07
(0.64,0.68]	1.36054002191739e-07
(0.68,0.72]	2.49432337351522e-07
(0.72,0.76]	4.53513340639131e-08
(0.76,0.8]	9.07026681278262e-08
(0.8,0.84]	2.26756670319565e-08
(0.84,0.88]	0
(0.88,0.92]	0
(0.92,0.96]	0
(0.96,1]	0
