human	PR10XT1cell63	2602005	2333852	2210699	89.69%	0.8969	84.96%	single	2.5833
human	PR10XT1cell64	798421	696913	656305	87.29%	0.8729	82.20%	single	0.8166
human	PR10XT1cell65	1670483	1450632	1366228	86.84%	0.8684	81.79%	single	2.5333
human	PR10XT1cell66	1527967	1337507	1269348	87.54%	0.8754	83.07%	single	1.6000
human	PR10XT1cell67	1093204	972608	918522	88.97%	0.8897	84.02%	single	1.0833
human	PR10XT1cell68	765182	646469	614174	84.49%	0.8449	80.27%	single	0.8833
human	PR10XT1cell69	781301	682617	648835	87.37%	0.8737	83.05%	single	0.9500
human	PR10XT1cell70	726500	636288	608269	87.58%	0.8758	83.73%	single	0.7333
human	PR10XT1cell71	472506	414175	395187	87.65%	0.8765	83.64%	single	0.5166
human	PR10XT1cell72	188728	143409	137178	75.99%	0.7599	72.69%	single	0.2500
human	PR10XT1cell73	1523200	1352760	1285688	88.81%	0.8881	84.41%	single	1.5833
human	PR10XT1cell74	1342197	1139607	1080442	84.91%	0.8491	80.50%	single	1.3333
human	PR10XT1cell75	709829	636718	604756	89.70%	0.8970	85.20%	single	0.9666
human	PR10XT1cell76	1020451	873406	833113	85.59%	0.8559	81.64%	single	1.2333
human	PR10XT1cell77	1405514	1255656	1181218	89.34%	0.8934	84.04%	single	7.6666
human	PR10XT1cell78	1150998	1013890	961255	88.09%	0.8809	83.51%	single	1.8166
human	PR10XT1cell79	764132	673959	631205	88.20%	0.8820	82.60%	single	0.8000
human	PR10XT1cell80	540006	459454	433952	85.08%	0.8508	80.36%	single	1.0166
human	PR10XT1cell81	1599164	1416445	1337359	88.57%	0.8857	83.63%	single	1.6000
human	PR10XT1cell82	1531997	1341455	1289933	87.56%	0.8756	84.20%	single	1.4333
human	PR10XT1cell83	1590155	1430328	1367572	89.95%	0.8995	86.00%	single	1.9666
human	PR10XT1cell84	621869	515597	481435	82.91%	0.8291	77.42%	single	1.4000
human	PR10XT1cell85	1834864	1674012	1591431	91.23%	0.9123	86.73%	single	1.8666
human	PR10XT1cell86	1296831	1160600	1113271	89.50%	0.8950	85.85%	single	1.2500
human	PR10XT1cell87	317999	271374	254268	85.34%	0.8534	79.96%	single	0.5333
human	PR10XT1cell88	316405	257103	227842	81.26%	0.8126	72.01%	single	0.4833
human	PR10XT1cell89	642252	548395	511657	85.39%	0.8539	79.67%	single	0.8500
human	PR10XT1cell90	854257	735856	692932	86.14%	0.8614	81.12%	single	2.4333
human	PR10XT1cell91	476039	424740	411924	89.22%	0.8922	86.53%	single	0.5666
human	PR10XT1cell92	362926	301545	292378	83.09%	0.8309	80.56%	single	0.4333
human	PR10XT1cell93	972089	877493	832723	90.27%	0.9027	85.66%	single	7.2666
human	PR10XT1cell94	1272785	1134315	1080769	89.12%	0.8912	84.91%	single	1.2166
human	PR10XT1cell95	1263270	1125769	1059795	89.12%	0.8912	83.89%	single	3.8833
human	PR10XT1cell96	325025	260045	240531	80.01%	0.8001	74.00%	single	0.3833
human	PR10XT2cell1	1843396	1625085	1533913	88.16%	0.8816	83.21%	single	1.7666
human	PR10XT2cell2	1881288	1662920	1585570	88.39%	0.8839	84.28%	single	1.7833
human	PR10XT2cell3	857739	766337	721677	89.34%	0.8934	84.14%	single	0.8500
human	PR10XT2cell4	901085	758734	732905	84.20%	0.8420	81.34%	single	3.6000
human	PR10XT2cell5	2001335	1798231	1707740	89.85%	0.8985	85.33%	single	2.0500
human	PR10XT2cell6	2569660	2347830	2249142	91.37%	0.9137	87.53%	single	2.7333
human	PR10XT2cell7	3463158	3143017	2962834	90.76%	0.9076	85.55%	single	10.2666
human	PR10XT2cell8	1786978	1640884	1521192	91.82%	0.9182	85.13%	single	3.4833
human	PR10XT2cell9	1473381	1293355	1230840	87.78%	0.8778	83.54%	single	1.3833
human	PR10XT2cell10	999452	877318	848975	87.78%	0.8778	84.94%	single	0.9166
human	PR10XT2cell11	1002041	896700	840478	89.49%	0.8949	83.88%	single	1.0000
human	PR10XT2cell12	623243	499163	475117	80.09%	0.8009	76.23%	single	0.6666
human	PR10XT2cell13	1673981	1493853	1401772	89.24%	0.8924	83.74%	single	1.9166
human	PR10XT2cell14	1755869	1573323	1485189	89.60%	0.8960	84.58%	single	1.7833
human	PR10XT2cell15	2675266	2457331	2339646	91.85%	0.9185	87.45%	single	2.6500
human	PR10XT2cell16	404723	342966	320158	84.74%	0.8474	79.11%	single	0.8333
human	PR10XT2cell17	1704000	1506721	1434183	88.42%	0.8842	84.17%	single	1.6333
human	PR10XT2cell18	1656960	1450743	1376313	87.55%	0.8755	83.06%	single	1.6000
human	PR10XT2cell19	803282	727280	684153	90.54%	0.9054	85.17%	single	0.7833
human	PR10XT2cell20	709209	597996	571201	84.32%	0.8432	80.54%	single	0.7833
human	PR10XT2cell21	1746219	1564474	1470015	89.59%	0.8959	84.18%	single	1.9166
human	PR10XT2cell22	1291696	1142298	1088429	88.43%	0.8843	84.26%	single	1.4666
human	PR10XT2cell23	1350208	1230611	1180179	91.14%	0.9114	87.41%	single	1.4333
human	PR10XT2cell24	1744053	1564628	1487890	89.71%	0.8971	85.31%	single	1.6833
human	PR10XT2cell25	1446108	1263183	1211492	87.35%	0.8735	83.78%	single	1.3500
human	PR10XT2cell26	1291442	1124299	1060218	87.06%	0.8706	82.10%	single	1.2000
human	PR10XT2cell27	1027979	931383	883582	90.60%	0.9060	85.95%	single	1.6500
human	PR10XT2cell28	747596	614648	585935	82.22%	0.8222	78.38%	single	0.7666
human	PR10XT2cell29	1874312	1668491	1577929	89.02%	0.8902	84.19%	single	1.8000
human	PR10XT2cell30	1946941	1749376	1662617	89.85%	0.8985	85.40%	single	1.8500
human	PR10XT2cell31	1784786	1638471	1566712	91.80%	0.9180	87.78%	single	2.3000
human	PR10XT2cell32	2287916	2047278	1968357	89.48%	0.8948	86.03%	single	2.0500
human	PR10XT2cell33	1675670	1469700	1386051	87.71%	0.8771	82.72%	single	1.7000
human	PR10XT2cell34	1495229	1295332	1236295	86.63%	0.8663	82.68%	single	1.5166
human	PR10XT2cell35	585762	517558	496001	88.36%	0.8836	84.68%	single	2.0000
human	PR10XT2cell36	569240	442368	417092	77.71%	0.7771	73.27%	single	0.6500
human	PR10XT2cell37	2256545	2024805	1931986	89.73%	0.8973	85.62%	single	2.1500
human	PR10XT2cell38	2195443	1982472	1892326	90.30%	0.9030	86.19%	single	2.2166
human	PR10XT2cell39	1754030	1570520	1483252	89.54%	0.8954	84.56%	single	1.9166
human	PR10XT2cell40	1103732	973534	917707	88.20%	0.8820	83.15%	single	6.8833
human	PR10XT2cell41	988815	852084	803299	86.17%	0.8617	81.24%	single	1.1000
human	PR10XT2cell42	1515623	1339611	1268449	88.39%	0.8839	83.69%	single	1.4500
human	PR10XT2cell43	912657	816394	768308	89.45%	0.8945	84.18%	single	1.1666
human	PR10XT2cell44	958329	816186	782563	85.17%	0.8517	81.66%	single	0.9833
human	PR10XT2cell45	2197596	1983345	1892597	90.25%	0.9025	86.12%	single	2.0666
human	PR10XT2cell46	2118894	1917293	1842719	90.49%	0.9049	86.97%	single	2.1333
human	PR10XT2cell47	2872143	2619963	2484650	91.22%	0.9122	86.51%	single	3.3666
human	PR10XT2cell48	1752355	1564896	1491932	89.30%	0.8930	85.14%	single	1.7333
human	PR10XT2cell49	1544768	1348505	1282597	87.29%	0.8729	83.03%	single	1.4500
human	PR10XT2cell50	1204067	1041635	983142	86.51%	0.8651	81.65%	single	1.2333
human	PR10XT2cell51	891491	798622	762108	89.58%	0.8958	85.49%	single	0.9166
human	PR10XT2cell52	870066	737634	686383	84.78%	0.8478	78.89%	single	1.0833
human	PR10XT2cell53	2017631	1827678	1751197	90.59%	0.9059	86.79%	single	2.0000
human	PR10XT2cell54	1651274	1464882	1394479	88.71%	0.8871	84.45%	single	1.5833
human	PR10XT2cell55	277776	244305	233214	87.95%	0.8795	83.96%	single	0.3666
human	PR10XT2cell56	135018	79090	77294	58.58%	0.5858	57.25%	single	0.1833
human	PR10XT2cell57	1417407	1230660	1164208	86.82%	0.8682	82.14%	single	1.4166
human	PR10XT2cell58	1595677	1399283	1331431	87.69%	0.8769	83.44%	single	1.5500
human	PR10XT2cell59	1264503	1136959	1069139	89.91%	0.8991	84.55%	single	1.3000
