cell	nGene	nUMI	orig.ident	percent.mito	batch	bigBatch	outer_id	inner_id	bigInner_id	res.0.6	cluster	tSNE_1	tSNE_2	ABratio	cleanReads	mpRatio	mitoRatio	ERCCratio	avgCor	doublet	filter	ident
RCP_C-A1_22	6512	38893	.	0.0394672563186177	RCP_C-A1	RCP_C	3	6	5-8	3	3	-8.65843563480111	9.78984169417177	0.988030566123203	2001699	0.9152	0.0394236696116704	0.0349682014984036	1	FALSE	TRUE	Granulosa-R+
RCP_C-A1_23	5253	18803	.	0.0619581981598681	RCP_C-A1	RCP_C	3	7	5-8	0	0	9.79231962014944	1.57302383245328	0.991579502029767	1902459	0.9163	0.0619121007599511	0.0413539050521583	1	FALSE	TRUE	Granulosa-R-Al
RCP_C-A1_24	5272	20840	.	0.077831094049904	RCP_C-A1	RCP_C	3	8	5-8	2	2	-11.3471867487671	-13.4253013732907	0.99223626000502	2053190	0.9221	0.0778006806960357	0.0575152623159544	1	FALSE	TRUE	Granulosa-R-Ah
RCP_C-A1_25	5511	21654	.	0.0589267571811213	RCP_C-A1	RCP_C	4	1	1-4	3	3	-16.99151124659	1.97674338133172	0.991840968581991	1959024	0.9235	0.0589077143252851	0.0681416223175769	1	FALSE	TRUE	Granulosa-R+
RCP_C-A1_26	7958	59266	.	0.047210879762427	RCP_C-A1	RCP_C	4	2	1-4	0	0	3.84898229833401	9.55512317816218	0.986886329325134	3590670	0.9157	0.0471464437966536	0.0217808440309585	1	FALSE	TRUE	Granulosa-R-Al
RCP_C-A1_27	5471	25254	.	0.0777698582402788	RCP_C-A1	RCP_C	4	3	1-4	3	3	-9.88549558017045	20.0756667027007	0.993061035942247	1771917	0.9156	0.077708316847353	0.0621821044612948	1	FALSE	TRUE	Granulosa-R+
RCP_C-A1_29	6036	27471	.	0.0547122420006552	RCP_C-A1	RCP_C	4	5	5-8	1	1	4.11261296315347	-17.9469682020656	0.990027525600016	2521117	0.9248	0.0546803943682468	0.0469867502493233	1	FALSE	TRUE	Granulosa-R-Am
RCP_C-A1_30	5809	25640	.	0.0581513260530421	RCP_C-A1	RCP_C	4	6	5-8	3	3	-19.7304410407521	-1.77197168544116	0.984654313745787	1911093	0.9237	0.0581127957282613	0.0412468285610729	1	FALSE	TRUE	Granulosa-R+
RCP_C-A1_31	5766	23328	.	0.0450531550068587	RCP_C-A1	RCP_C	4	7	5-8	2	2	1.6474183614064	-19.4701470396974	0.965250838124221	1987184	0.9225	0.0450319208192296	0.0515701775778597	1	FALSE	TRUE	Granulosa-R-Ah
RCP_C-A1_32	6265	35761	.	0.053549956656693	RCP_C-A1	RCP_C	4	8	5-8	1	1	8.47584319736282	-7.47972690636481	0.994739934074776	2520743	0.9267	0.0535185288692639	0.0458335383986461	1	FALSE	TRUE	Granulosa-R-Am
RCP_C-A1_35	5404	26815	.	0.0733917583442103	RCP_C-A1	RCP_C	5	3	1-4	2	2	-15.2902704509794	-15.4359881470731	0.986376141668691	1667214	0.9198	0.0733152032187162	0.0436458381511802	1	FALSE	TRUE	Granulosa-R-Ah
RCP_C-A1_36	4953	16756	.	0.0634399618047267	RCP_C-A1	RCP_C	5	4	1-4	1	1	-9.37664924949624	-7.52531747069333	0.947527129168568	1014010	0.9062	0.0634096874254355	0.0606471226829737	1	FALSE	TRUE	Granulosa-R-Am
RCP_C-A1_37	6126	26252	.	0.0536340088374219	RCP_C-A1	RCP_C	5	5	5-8	1	1	7.72651936973	-8.18934662071475	0.991254115154862	1808516	0.927	0.0536074624024367	0.0409441810731128	1	FALSE	TRUE	Granulosa-R-Am
RCP_C-A1_38	4529	12003	.	0.0287428142964259	RCP_C-A1	RCP_C	5	6	5-8	3	3	-12.2837154474347	7.02309301920582	0.962956557862307	1177200	0.912	0.0286330815835339	0.000112807835227284	1	FALSE	TRUE	Granulosa-R+
RCP_C-A1_39	1931	3452	.	0.018539976825029	RCP_C-A1	RCP_C	5	7	5-8	7	7	20.8563875390058	18.8277984262943	0.956540127314478	728994	0.9142	0.0183802412406663	0.000553917461669375	1	FALSE	TRUE	CACNA1A
RCP_C-A1_40	5011	19423	.	0.0581784482314781	RCP_C-A1	RCP_C	5	8	5-8	2	2	-14.3921101399392	-15.6341216762275	0.989460278200817	1727059	0.9275	0.05811860309623	0.0498944961912965	1	FALSE	TRUE	Granulosa-R-Ah
RCP_C-A1_41	5862	26796	.	0.043402000298552	RCP_C-A1	RCP_C	6	1	1-4	0	0	17.6470010867929	6.06327930289877	0.990847362577819	1731684	0.9192	0.0433453840706645	0.0595798130976735	1	FALSE	TRUE	Granulosa-R-Al
RCP_C-A1_42	5599	25681	.	0.054398193216775	RCP_C-A1	RCP_C	6	2	1-4	0	0	9.50368888989481	13.4628243013381	0.979844210451719	2016964	0.916	0.0543262687147579	0.0509603537767494	1	FALSE	TRUE	Granulosa-R-Al
RCP_C-A1_43	4443	18793	.	0.0871069015058799	RCP_C-A1	RCP_C	6	3	1-4	2	2	-13.2950234555961	-15.3947815331971	0.990322691301533	1468863	0.9038	0.0869634509137272	0.0654626980293065	1	FALSE	TRUE	Granulosa-R-Ah
RCP_C-A1_45	6460	30576	.	0.0603741496598639	RCP_C-A1	RCP_C	6	5	5-8	2	14	12.6423627950707	-22.0963452006228	0.992508588553921	1760451	0.9248	0.0603484912877178	0.0437119478560312	1	FALSE	TRUE	Granulosa-Prol
RCP_C-A1_46	5051	20003	.	0.0542918562215668	RCP_C-A1	RCP_C	6	6	5-8	5	5	24.2796551559284	-16.2820851940002	0.987301265789702	1345757	0.9116	0.0541970256512626	0.0699098342047214	1	FALSE	TRUE	Granulosa-R-CALB2
RCP_C-A1_47	1815	3147	.	0.00571973307912297	RCP_C-A1	RCP_C	6	7	5-8	7	7	20.7949746879723	19.1985449529494	0.976413717696289	1312721	0.9193	0.0056232427366448	0.00126335876236844	1	FALSE	TRUE	CACNA1A
RCP_C-A1_48	5731	21970	.	0.0614019116977697	RCP_C-A1	RCP_C	6	8	5-8	3	3	-17.8279941822881	-0.592060257798107	0.991150707975506	2049668	0.9273	0.0613683923209899	0.0553079819664976	1	FALSE	TRUE	Granulosa-R+
RCP_C-A1_49	5351	23809	.	0.0747196438321643	RCP_C-A1	RCP_C	7	1	1-4	3	3	-6.32950832567033	18.537947016925	0.987627537198125	1518376	0.9095	0.0746725990597717	0.065329897170422	1	FALSE	TRUE	Granulosa-R+
RCP_C-A1_51	4598	13473	.	0.00512135381874861	RCP_C-A1	RCP_C	7	3	1-4	0	0	9.11096674457234	6.66518700438236	0.988200202168617	1959037	0.9208	0.0051031728422454	3.37654162016768e-05	1	FALSE	TRUE	Granulosa-R-Al
RCP_C-A1_52	5285	22284	.	0.079967689822294	RCP_C-A1	RCP_C	7	4	1-4	3	3	-9.99422540351869	20.8871300771252	0.98756776570398	1664619	0.9171	0.0798530202545259	0.0325794532473845	1	FALSE	TRUE	Granulosa-R+
RCP_C-A1_53	6084	25559	.	0.0657302711373684	RCP_C-A1	RCP_C	7	5	5-8	1	1	7.01556671165025	-10.939996884626	0.990920049169895	2118961	0.9245	0.0656763096168882	0.0557461104461403	1	FALSE	TRUE	Granulosa-R-Am
RCP_C-A1_54	2102	4058	.	0.0303104977821587	RCP_C-A1	RCP_C	7	6	5-8	7	7	21.1792680602364	18.2404400494822	0.961428028958725	1028231	0.9171	0.0298616168973052	0.000174738111255755	1	FALSE	TRUE	CACNA1A
RCP_C-A1_55	2949	7669	.	0.0159082018516104	RCP_C-A1	RCP_C	7	7	5-8	2	2	-3.33340985339535	-20.4364950957579	0.931371135902832	427034	0.9131	0.015881280916428	0.0017587571449509	1	FALSE	TRUE	Granulosa-R-Ah
RCP_C-A1_56	5672	35330	.	0.0549391452023776	RCP_C-A1	RCP_C	7	8	5-8	3	3	-4.3071903961985	19.6348540634488	0.992385949012805	1906167	0.9249	0.0549111689487383	0.0735075800299723	1	FALSE	TRUE	Granulosa-R+
RCP_C-A1_57	5232	22926	.	0.0611532757567827	RCP_C-A1	RCP_C	8	1	1-4	1	1	-4.41606231296601	2.20271138346617	0.988700397633452	1765185	0.9164	0.0610866628905059	0.0590181446401948	1	FALSE	TRUE	Granulosa-R-Am
