mdid	size	TF	PPI	GO	KEGG	class	avgCor_Lung.Fibro-0	avgCor_Ovary.Granulosa-R-Al	avgCor_Pancreas.Fibro-PAMR1+SOX6+	avgCor_Small intestine.Fibro-COL14A1	avgCor_Small intestine.Fibro-COL6A5	avgCor_Small intestine.SM-Visceral	avgCor_Small intestine.T	avgCor_Stomach.Fibro-ADAM28	avgCor_Stomach.Fibro-FBLN1	avgCor_Stomach.Fibro-IRF1	avgExpr_Lung.Fibro-0	avgExpr_Ovary.Granulosa-R-Al	avgExpr_Pancreas.Fibro-PAMR1+SOX6+	avgExpr_Small intestine.Fibro-COL14A1	avgExpr_Small intestine.Fibro-COL6A5	avgExpr_Small intestine.SM-Visceral	avgExpr_Small intestine.T	avgExpr_Stomach.Fibro-ADAM28	avgExpr_Stomach.Fibro-FBLN1	avgExpr_Stomach.Fibro-IRF1
MD224	33	TRUE	TRUE	TRUE	FALSE	Cell cycle	0.0820815453287787	0.0787387491748244	0.249056126727871	0.148809998080242	0.187222426300307	0.203628539246155	0.0690882698926373	0.099058845337613	0.219206273175827	0.115384148142067	248.923000540352	275.639861382649	379.914562926688	399.465467011845	369.814197541172	308.756932274691	404.611592140143	251.968236571171	411.770377864025	512.234478686796
MD9	14	FALSE	TRUE	TRUE	TRUE	Cell cycle	0.0960915487728675	0.0224373556810429	0.0348861611565524	0.0514637308390616	0.0657743818745709	0.0291412649766171	0.134676401826064	0.0597714066369747	0.0465940216900704	0.057665028524887	36.9666613252744	48.5477953779737	38.6805955090592	37.4550232772958	45.3766151415262	44.9091576847494	70.9644362349669	56.6157661272021	43.6571236687348	54.33837792386
MD182	18	FALSE	TRUE	TRUE	FALSE	Cell cycle	0.0337276409460805	0.0154692193124739	0.0540544576920917	0.0300720922659113	0.0438301369641934	0.0327760778774486	0.0699790410330531	0.124727249558825	0.094562353264352	0.0927136653957639	149.526705562804	196.962861407124	155.743937493808	180.395437277521	177.958381789619	163.670253287658	325.207114104232	227.224128505505	220.522425047341	255.496799238248
MD166	240	TRUE	TRUE	TRUE	TRUE	Cell cycle	0.0291705819308376	0.0241996032783589	0.0321391612775045	0.0319377923325363	0.0367643918851222	0.0250513144027892	0.282399705401307	0.0318713041506508	0.0419400470269189	0.032959445385391	62.5783295257825	75.7706164700278	54.4543373946916	55.6400686746302	58.101340936057	60.5447133816282	78.8342527762283	66.1737295533428	60.6119072466689	64.5556729988527
MD49	39	TRUE	TRUE	TRUE	TRUE	Cell cycle	0.0243538051176934	0.156077070359239	0.037813702790135	0.0339956665645762	0.0303743915757689	0.0118478655622444	0.18552957019846	0.0290031482124114	0.0399509046465324	0.0183096841589839	7.57727082663984	19.3986103802937	4.61101572532071	6.73118581607184	7.2443398306283	7.04658184516446	17.1295548529083	7.66122469193103	8.35537268042864	7.82271984655036
MD24	20	TRUE	FALSE	TRUE	FALSE	Cell cycle	0.104354436543932	0.0448391010509865	0.0598293262441367	0.0320105541198661	0.0307261774439571	0.0394585457632846	0.0553400323095037	0.0253256420839999	0.0396690863154935	0.0320767448526189	198.515703635516	312.565773203195	181.107356975682	215.949921638051	216.629643671983	218.811665751671	244.444510033425	267.16384948347	258.559265148044	270.988870156526
MD160	26	TRUE	FALSE	TRUE	FALSE	Cell cycle	0.0363139273396379	0.0104855883193457	0.0248024014044357	0.015682626631884	0.0229273421990478	0.0220072921616717	0.104167386275356	0.014390108201862	0.0316008713354587	0.0185294019594686	49.609106049507	47.8120419910247	38.5746950097135	39.5686109796359	38.5629723247841	45.9611951247675	32.6401084374235	43.1983351173879	43.0260943402801	38.3611420979602
MD162	35	TRUE	TRUE	TRUE	TRUE	Cell cycle	0.0348917828290062	0.0112642455388413	0.0184756144988042	0.0254617250301842	0.016508690285691	0.0165451446065658	0.116464161666188	0.0140172774698464	0.0277960265761721	0.0163719740371426	93.3268799197804	108.787118490576	84.7397722389136	83.9485481612243	93.9830956685938	91.7266179508077	93.9294062209334	96.088255390052	88.5033124740965	86.6808045206858
MD164	27	TRUE	TRUE	TRUE	FALSE	Cell cycle	0.0266087535436775	0.011908059652501	0.0204908267165423	0.0251749500451694	0.0148647476735511	0.0135961308041163	0.124343968030437	0.0200986694070854	0.0221898702074399	0.0160243409863539	52.2521514464604	119.786080089637	44.3833117787664	40.7546994814609	43.129267264107	47.4076087581408	42.5079855527166	47.9207543443855	39.9364045333345	43.6093188078573
MD157	27	TRUE	FALSE	TRUE	FALSE	Cell cycle	0.0278402816194441	0.0181575112934958	0.014242016686706	0.0191035551018746	0.0184452884008503	0.0196289900639257	0.104664127022933	0.0244121184265731	0.0243156906627182	0.0155783296802072	76.7403738048397	77.4688774512827	55.7914137522649	52.7342761129695	57.051066461529	74.7139553999667	53.3094548820083	73.2099558340433	67.9100140969494	64.0781767565539
MD155	17	TRUE	FALSE	TRUE	FALSE	Cell cycle	0.0301102917735367	0.0197668169991531	0.0266901058332663	0.0234041167384202	0.017191040860657	0.00932504980519737	0.0958835945713401	0.0135298440292272	0.0242581284400118	0.0140650962634555	89.0203433339355	101.15164030247	74.3574046680964	71.3198875749464	86.9504950717644	81.9603440981417	72.1843564839283	83.9666139111388	75.8836941617978	74.4851202041204
MD99	28	TRUE	FALSE	TRUE	TRUE	Development	0.0801229671831725	0.0636957537842765	0.193075558119127	0.142574793305477	0.176076668102355	0.166663456650304	0.0710090538652663	0.0827655143716355	0.161820755480907	0.0643863000446557	412.643857239797	386.537362590341	416.663837059489	508.094756079038	437.103532407829	401.418992705999	480.80652512793	390.407729861898	637.873838846807	694.703120432513
