prob	cor_quantile
0	-0.40647962060093
0.01	-0.0957725282226429
0.02	-0.0833591740559662
0.03	-0.0755402391564511
0.04	-0.0696549783558431
0.05	-0.0648680558147459
0.06	-0.0607869065163113
0.07	-0.0572110196433637
0.08	-0.0540118713644921
0.09	-0.0510995878924541
0.1	-0.0484155264295497
0.11	-0.0459253569485985
0.12	-0.0435900074161181
0.13	-0.0413855182599814
0.14	-0.0392943106552076
0.15	-0.0372999346617932
0.16	-0.0353923958108171
0.17	-0.0335605860437677
0.18	-0.0317939053709085
0.19	-0.0300853607814763
0.2	-0.0284280646847268
0.21	-0.0268223998418905
0.22	-0.0252648049951732
0.23	-0.0237477957265804
0.24	-0.0222595796092443
0.25	-0.0208046406947652
0.26	-0.0193803469319061
0.27	-0.0179830305556496
0.28	-0.0166120214527517
0.29	-0.0152570014237062
0.3	-0.0139252139214209
0.31	-0.0126149543342724
0.32	-0.0113212705578205
0.33	-0.0100454619183856
0.34	-0.00878272021281205
0.35	-0.00753488567510695
0.36	-0.00629982983955963
0.37	-0.00507576790302814
0.38	-0.00386283649286262
0.39	-0.00265704756468947
0.4	-0.0014618128324417
0.41	-0.000268811047796559
0.42	0.000912837191480878
0.43	0.00208752891544037
0.44	0.00326111332620778
0.45	0.00443092165510499
0.46	0.00559518919101485
0.47	0.00676178967315274
0.48	0.00792391126231499
0.49	0.00908284148575562
0.5	0.0102430824779115
0.51	0.0114022746630939
0.52	0.0125661134642236
0.53	0.013729286845746
0.54	0.0148998038738366
0.55	0.0160695982060562
0.56	0.0172406369504139
0.57	0.0184202099222885
0.58	0.0196062999288501
0.59	0.020799239003336
0.6	0.0219980112179892
0.61	0.0232032738904271
0.62	0.0244219310911631
0.63	0.0256520041993219
0.64	0.0268945944719699
0.65	0.0281459600549959
0.66	0.0294099828973158
0.67	0.0306894081208349
0.68	0.0319882892695786
0.69	0.0333010857846391
0.7	0.0346362090911886
0.71	0.0359947780424944
0.72	0.037370138043244
0.73	0.038769299525509
0.74	0.0402005191733982
0.75	0.0416583562305114
0.76	0.0431468643071188
0.77	0.0446739945601347
0.78	0.0462386056437305
0.79	0.0478469961241171
0.8	0.0494982327910387
0.81	0.0512034788383268
0.82	0.0529641628568551
0.83	0.0547909911120595
0.84	0.0566864712407329
0.85	0.0586661007764401
0.86	0.0607409357858223
0.87	0.0629159435271811
0.88	0.0652120995695004
0.89	0.0676533044084986
0.9	0.0702578706908749
0.91	0.0730644241676453
0.92	0.0761265741853788
0.93	0.079488890570157
0.94	0.0832572675121504
0.95	0.0875688365796369
0.96	0.0926432017381628
0.97	0.0989077551830815
0.98	0.10728702812787
0.99	0.12064550906194
1	0.799070335800607
