cor_bin	Freq
[-1,-0.96]	0
(-0.96,-0.92]	0
(-0.92,-0.88]	0
(-0.88,-0.84]	0
(-0.84,-0.8]	0
(-0.8,-0.76]	0
(-0.76,-0.72]	0
(-0.72,-0.68]	0
(-0.68,-0.64]	0
(-0.64,-0.6]	0
(-0.6,-0.56]	0
(-0.56,-0.52]	0
(-0.52,-0.48]	0
(-0.48,-0.44]	0
(-0.44,-0.4]	2.26274542840005e-08
(-0.4,-0.36]	2.26274542840005e-08
(-0.36,-0.32]	3.16784359976007e-07
(-0.32,-0.28]	7.01451082804015e-07
(-0.28,-0.24]	3.07733378262407e-06
(-0.24,-0.2]	1.61786298130603e-05
(-0.2,-0.16]	0.000146354374308915
(-0.16,-0.12]	0.00205502539807292
(-0.12,-0.08]	0.0216508986120116
(-0.08,-0.04]	0.112701217748495
(-0.04,0]	0.275708334920084
(0,0.04]	0.326326447957387
(0.04,0.08]	0.192817837837679
(0.08,0.12]	0.0582168873624107
(0.12,0.16]	0.00929949904400137
(0.16,0.2]	0.000901206249223171
(0.2,0.24]	9.77732299611661e-05
(0.24,0.28]	2.89857689378046e-05
(0.28,0.32]	1.19472958619523e-05
(0.32,0.36]	7.17290300802815e-06
(0.36,0.4]	3.43937305116807e-06
(0.4,0.44]	2.30800033696805e-06
(0.44,0.48]	1.58392179988003e-06
(0.48,0.52]	8.82470717076019e-07
(0.52,0.56]	6.56196174236014e-07
(0.56,0.6]	3.62039268544008e-07
(0.6,0.64]	3.39411814260007e-07
(0.64,0.68]	2.03647088556004e-07
(0.68,0.72]	9.05098171360019e-08
(0.72,0.76]	1.13137271420002e-07
(0.76,0.8]	1.13137271420002e-07
(0.8,0.84]	0
(0.84,0.88]	0
(0.88,0.92]	0
(0.92,0.96]	0
(0.96,1]	0
