cell	ml_total	ml_contaRow	ml_contaCol	ml_contaOth	ml_origin	tp_total	tp_contaRow	tp_contaCol	tp_contaOth	tp_origin	ml_ratioRow	ml_ratioCol	ml_ratioOth	tp_ratioRow	tp_ratioCol	tp_ratioOth
SD-1_cell38	1060547	5823	3	1	1054720	116312	4566	3	1	111742	0.00549056288877344	2.82872894836344e-06	9.4290964945448e-07	0.0392564825641378	2.5792695508632e-05	8.59756516954398e-06
SD-1_cell39	1054766	5960	0	2	1048804	121739	4555	0	2	117182	0.00565054239518528	0	1.89615516616956e-06	0.0374161115172623	0	1.64285890306311e-05
SD-1_cell40	1332664	4572	0	2	1328090	152979	3630	0	1	149348	0.00343072222255572	0	1.50075337819585e-06	0.023728747082933	0	6.53684492642781e-06
SD-1_cell41	1067595	8166	2	1	1059426	201603	6318	2	1	195282	0.00764896800753095	1.87336958303477e-06	9.36684791517383e-07	0.0313388193628071	9.9204872943359e-06	4.96024364716795e-06
SD-1_cell42	1500324	8266	2	2	1492054	250747	6314	2	1	244430	0.00550947661971681	1.3330453955279e-06	1.3330453955279e-06	0.0251807598894503	7.97616721236944e-06	3.98808360618472e-06
SD-1_cell43	593959	4114	2	1	589842	101686	3357	2	1	98326	0.00692640401105127	3.36723578563504e-06	1.68361789281752e-06	0.0330133941742226	1.96683909289381e-05	9.83419546446905e-06
SD-1_cell44	12	0	3	1	8	8	0	3	1	4	0	0.25	0.0833333333333333	0	0.375	0.125
SD-1_cell45	2183697	8218	0	0	2175479	318520	6100	0	0	312420	0.00376334262491545	0	0	0.0191510737159362	0	0
SD-1_cell46	1866935	8782	0	6	1858147	272352	6599	0	5	265748	0.0047039666619352	0	3.21382372712494e-06	0.024229673363882	0	1.83585947597227e-05
SD-1_cell47	133143	9028	0	0	124115	22621	6705	0	0	15916	0.0678067941987187	0	0	0.296405994429954	0	0
SD-1_cell48	533340	7031	0	0	526309	98628	5538	0	0	93090	0.0131829602129973	0	0	0.0561503832583039	0	0
SD-1_cell49	676195	4826	1	0	671368	69757	3873	1	0	65883	0.00713699450602267	1.47886334563255e-06	0	0.0555213096893502	1.43354788766719e-05	0
SD-1_cell50	1271138	4637	0	3	1266498	124780	3673	0	1	121106	0.00364791234311302	0	2.36008993516046e-06	0.0294358070203558	0	8.0141048244911e-06
SD-1_cell51	364646	2466	1	1	362178	47053	2019	1	1	45032	0.00676272329876099	2.74238576592092e-06	2.74238576592092e-06	0.0429090599961745	2.12526300129641e-05	2.12526300129641e-05
SD-1_cell52	1	0	1	0	0	1	0	1	0	0	0	1	0	0	1	0
SD-1_cell53	1542050	5079	3	0	1536968	141488	3919	1	0	137568	0.00329366752050841	1.94546220939658e-06	0	0.0276984620603867	7.06773719326021e-06	0
SD-1_cell54	921163	5387	0	6	915770	96780	4235	0	4	92541	0.00584804209461301	0	6.51350521026138e-06	0.0437590411241992	0	4.13308534821244e-05
SD-1_cell55	1605018	4952	0	1	1600065	146418	3895	0	1	142522	0.00308532365369111	0	6.23045972070095e-07	0.0266019205288967	0	6.8297613681378e-06
SD-1_cell56	930605	4068	0	1	926536	96513	3255	0	1	93257	0.00437134982081549	0	1.07456976912869e-06	0.0337260265456467	0	1.03612984779253e-05
SD-1_cell57	928571	7763	1	2	920805	154477	6150	1	2	148324	0.00836015770468817	1.07692357396473e-06	2.15384714792945e-06	0.0398117519112878	6.47345559533134e-06	1.29469111906627e-05
SD-1_cell58	1417782	8632	0	1	1409149	253830	6506	0	1	247323	0.00608838312237001	0	7.05327053101253e-07	0.0256313280542095	0	3.93964464405311e-06
SD-1_cell59	655253	4172	0	5	651076	117848	3287	0	4	114557	0.00636700633190539	0	7.63064037860185e-06	0.0278918607019211	0	3.39420270178535e-05
SD-1_cell61	545109	10550	0	0	534559	107884	7369	0	0	100515	0.0193539273796617	0	0	0.0683048459456453	0	0
SD-1_cell62	502183	9769	3	0	492411	80142	7165	1	0	72976	0.0194530679055245	5.97391787455967e-06	0	0.0894038082403733	1.24778518130319e-05	0
SD-1_cell63	57609	7436	0	0	50173	15426	5828	0	0	9598	0.129077053932545	0	0	0.377803708025412	0	0
SD-1_cell64	317831	6619	0	0	311212	68371	5144	0	0	63227	0.0208255330663151	0	0	0.0752365769112636	0	0
SD-1_cell65	2090544	11332	1	2	2079209	219550	7799	1	2	211748	0.0054205986575743	4.78344392655692e-07	9.56688785311383e-07	0.0355226599863357	4.55477112275108e-06	9.10954224550216e-06
SD-1_cell66	2529793	11382	1	3	2518407	226857	7562	1	2	219292	0.00449918234416808	3.95289258844498e-07	1.18586777653349e-06	0.0333337741396563	4.40806322925896e-06	8.81612645851792e-06
SD-1_cell67	665071	6143	0	3	658925	69109	4478	0	3	64628	0.00923660782081913	0	4.5107965916421e-06	0.0647961915235353	0	4.34096861479691e-05
SD-1_cell68	10	0	0	1	9	10	0	0	1	9	0	0	0.1	0	0	0.1
SD-1_cell69	1673844	13042	1	34	1660767	143667	8389	1	3	135274	0.00779164605542691	5.97427239336521e-07	2.03125261374417e-05	0.058391975888687	6.96054069480117e-06	2.08816220844035e-05
SD-1_cell70	1460642	12811	2	17	1447812	137773	8600	2	8	129163	0.00877080078486036	1.36926091403643e-06	1.16387177693097e-05	0.0624215194559166	1.45166324316085e-05	5.80665297264341e-05
SD-1_cell71	1643678	12343	1	8	1631326	136686	8175	1	4	128506	0.00750937835756152	6.08391667954429e-07	4.86713334363543e-06	0.0598086124401914	7.31603821898366e-06	2.92641528759346e-05
SD-1_cell72	3030670	8963	0	2	3021705	284708	6140	0	2	278566	0.00295743185500236	0	6.59920083677867e-07	0.0215659552945474	0	7.02474113828905e-06
SD-1_cell73	844798	4070	1	0	840727	89064	3252	1	0	85811	0.00481771973891984	1.18371492356753e-06	0	0.0365130692535705	1.12278810742837e-05	0
SD-1_cell74	655090	4915	0	0	650175	63963	3752	0	0	60211	0.00750278587674976	0	0	0.0586589121836061	0	0
SD-1_cell75	547801	2465	0	3	545333	57240	1990	0	3	55247	0.00449980923729603	0	5.47644126242924e-06	0.0347658979734451	0	5.24109014675052e-05
SD-1_cell76	6	0	0	0	6	4	0	0	0	4	0	0	0	0	0	0
SD-1_cell77	209228	4896	0	0	204332	22140	3735	0	0	18405	0.0234003097099815	0	0	0.16869918699187	0	0
SD-1_cell78	281393	5130	0	0	276263	30072	3905	0	0	26167	0.0182307306862644	0	0	0.129855014631551	0	0
SD-1_cell79	599912	5593	1	0	594318	52164	4175	1	0	47988	0.00932303404499327	1.66691114696822e-06	0	0.0800360401809677	1.91703090253815e-05	0
SD-1_cell80	93393	3513	0	1	89879	10174	2839	0	1	7334	0.0376152388294626	0	1.07074406004733e-05	0.279044623550226	0	9.82897582071948e-05
SD-1_cell81	135724	12957	0	0	122767	27547	7479	0	0	20068	0.0954657982375998	0	0	0.271499618833267	0	0
SD-1_cell82	137154	8378	2	0	128774	25411	5319	2	0	20090	0.0610846202079414	1.4582148533765e-05	0	0.209318798945339	7.87060721734682e-05	0
SD-1_cell83	511764	3554	1	2	508207	97360	2445	1	2	94912	0.00694460727991809	1.95402568371359e-06	3.90805136742717e-06	0.0251129827444536	1.02711585866886e-05	2.05423171733772e-05
SD-1_cell84	5	0	0	0	5	5	0	0	0	5	0	0	0	0	0	0
SD-1_cell85	654058	8811	0	0	645247	176391	5513	0	0	170878	0.0134712823633378	0	0	0.0312544290808488	0	0
SD-1_cell86	1402048	4062	2	2	1397982	247150	3154	2	2	243992	0.00289719039576391	1.42648468526042e-06	1.42648468526042e-06	0.0127614808820554	8.09225166902691e-06	8.09225166902691e-06
SD-1_cell87	545806	6871	0	9	538926	93427	4486	0	5	88936	0.0125887220001246	0	1.64893753458188e-05	0.0480160981300909	0	5.35177197169983e-05
SD-1_cell88	58016	4636	0	0	53380	14711	3383	0	0	11328	0.0799089906232763	0	0	0.229963972537557	0	0
SD-1_cell89	1641266	3401	1	10	1637854	186124	2777	1	2	183344	0.00207218086525889	6.09285758676534e-07	6.09285758676534e-06	0.0149201607530464	5.37276224452516e-06	1.07455244890503e-05
SD-1_cell90	830567	3712	0	0	826855	104326	3003	0	0	101323	0.00446923607607815	0	0	0.028784770814562	0	0
SD-1_cell91	347581	1915	1	0	345665	49415	1617	1	0	47797	0.00550950713646603	2.87702722530863e-06	0	0.0327228574319539	2.02367702114742e-05	0
SD-1_cell92	2	0	2	0	0	2	0	2	0	0	0	1	0	0	1	0
SD-1_cell93	835421	3734	0	33	831654	102519	3038	0	3	99478	0.00446960275118772	0	3.95010419896076e-05	0.0296335313454091	0	2.92628683463553e-05
SD-1_cell94	102371	3737	0	1	98633	13652	3091	0	1	10560	0.0365044788074748	0	9.76839143898174e-06	0.22641371227659	0	7.32493407559332e-05
SD-1_cell95	594711	3874	0	0	590837	70685	3114	0	0	67571	0.00651408835552058	0	0	0.0440546084742166	0	0
SD-1_cell96	350813	3005	0	1	347807	52432	2483	0	1	49948	0.00856581711624142	0	2.85052150290896e-06	0.0473565761367104	0	1.90723222459567e-05
