cor_bin	Freq
[-1,-0.96]	0
(-0.96,-0.92]	0
(-0.92,-0.88]	0
(-0.88,-0.84]	0
(-0.84,-0.8]	0
(-0.8,-0.76]	0
(-0.76,-0.72]	0
(-0.72,-0.68]	0
(-0.68,-0.64]	0
(-0.64,-0.6]	0
(-0.6,-0.56]	0
(-0.56,-0.52]	0
(-0.52,-0.48]	0
(-0.48,-0.44]	0
(-0.44,-0.4]	0
(-0.4,-0.36]	1.35793611815855e-07
(-0.36,-0.32]	2.26322686359758e-07
(-0.32,-0.28]	6.33703521807322e-07
(-0.28,-0.24]	1.92374283405794e-06
(-0.24,-0.2]	7.8533972166836e-06
(-0.2,-0.16]	3.20472923885417e-05
(-0.16,-0.12]	0.000203690417723782
(-0.12,-0.08]	0.00294389234282455
(-0.08,-0.04]	0.0536745977680057
(-0.04,0]	0.312193700534348
(0,0.04]	0.449326757904886
(0.04,0.08]	0.164080281183306
(0.08,0.12]	0.0165009154752663
(0.12,0.16]	0.000804531885471668
(0.16,0.2]	0.000126944394779188
(0.2,0.24]	4.90667584027955e-05
(0.24,0.28]	2.3424398038235e-05
(0.28,0.32]	1.24477477497867e-05
(0.32,0.36]	6.72178378488481e-06
(0.36,0.4]	3.53063390721222e-06
(0.4,0.44]	2.28585913223356e-06
(0.44,0.48]	1.65215561042623e-06
(0.48,0.52]	8.14761670895129e-07
(0.52,0.56]	7.46864864987201e-07
(0.56,0.6]	3.39484029539637e-07
(0.6,0.64]	2.94219492267685e-07
(0.64,0.68]	1.81058149087806e-07
(0.68,0.72]	2.26322686359758e-07
(0.72,0.76]	2.26322686359758e-08
(0.76,0.8]	9.05290745439032e-08
(0.8,0.84]	2.26322686359758e-08
(0.84,0.88]	0
(0.88,0.92]	0
(0.92,0.96]	0
(0.96,1]	0
