p_val	avg_logFC	pct.1	pct.2	p_val_adj	cluster	gene
Peak-52062-1	1.95506419441835e-16	0.324184557384193	0.957	0.262	6.52236786156682e-11	Erythrocyte-Prol	Peak-52062-1
Peak-111730-1	2.03584576260202e-16	0.14740165045974	0.609	0.077	6.79186648244712e-11	Erythrocyte-Prol	Peak-111730-1
Peak-89591-1	3.01742895528306e-16	0.191751074776555	0.783	0.148	1.0066565434878e-10	Erythrocyte-Prol	Peak-89591-1
Peak-52890-2	3.44665632898551e-16	0.271979050689674	0.913	0.265	1.14985280453817e-10	Erythrocyte-Prol	Peak-52890-2
Peak-42104-3	4.23255499915057e-16	0.136682683896774	0.739	0.114	1.41203960348662e-10	Erythrocyte-Prol	Peak-42104-3
Peak-33616-2	4.23423964320621e-16	0.182372415982224	0.826	0.163	1.4126016243286e-10	Erythrocyte-Prol	Peak-33616-2
Peak-41717-3	5.02201042754351e-16	0.178125041646927	0.739	0.129	1.6754129867745e-10	Erythrocyte-Prol	Peak-41717-3
Peak-40868-3	5.23774801006164e-16	0.46266801217913	0.913	0.286	1.7473860646287e-10	Erythrocyte-Prol	Peak-40868-3
Peak-39308-2	5.75432845993222e-16	0.365609585845273	0.913	0.258	1.91972453483183e-10	Erythrocyte-Prol	Peak-39308-2
Peak-23251-4	5.96803310867086e-16	0.262734322249914	0.87	0.215	1.99101939751612e-10	Erythrocyte-Prol	Peak-23251-4
Peak-134718-1	6.66339489172915e-16	0.0882008137248637	0.522	0.052	2.22300182340933e-10	Erythrocyte-Prol	Peak-134718-1
Peak-103970-1	6.66339489172915e-16	0.0856234757863067	0.522	0.052	2.22300182340933e-10	Erythrocyte-Prol	Peak-103970-1
Peak-3734-2	6.83884764293219e-16	0.223950555858237	0.87	0.197	2.28153531754918e-10	Erythrocyte-Prol	Peak-3734-2
Peak-21572-2	6.96365814326357e-16	0.275464324132829	0.87	0.231	2.32317384780673e-10	Erythrocyte-Prol	Peak-21572-2
Peak-88172-1	7.1807386319315e-16	0.236730526757959	0.739	0.138	2.39559493795319e-10	Erythrocyte-Prol	Peak-88172-1
Peak-42722-1	7.49132802696504e-16	0.256331420874799	0.913	0.246	2.49921190838792e-10	Erythrocyte-Prol	Peak-42722-1
Peak-167793-1	8.08388530901334e-16	0.0824462483489557	0.435	0.031	2.69689731348118e-10	Erythrocyte-Prol	Peak-167793-1
Peak-23697-5	8.58741420500399e-16	0.23885452752371	0.739	0.132	2.8648816025882e-10	Erythrocyte-Prol	Peak-23697-5
Peak-9187-6	1.01484613329974e-15	0.192098392936177	0.826	0.172	3.3856687791466e-10	Erythrocyte-Prol	Peak-9187-6
Peak-9391-3	1.10092686716964e-15	0.259873235614077	0.87	0.203	3.67284615863931e-10	Erythrocyte-Prol	Peak-9391-3
Peak-114112-1	1.27782861915437e-15	0.177601490356993	0.696	0.114	4.26301516950565e-10	Erythrocyte-Prol	Peak-114112-1
Peak-47393-3	1.33622335285399e-15	0.105909772269717	0.478	0.043	4.45782817639032e-10	Erythrocyte-Prol	Peak-47393-3
Peak-99270-1	1.33723821471838e-15	0.269129582073565	0.913	0.24	4.46121389765056e-10	Erythrocyte-Prol	Peak-99270-1
Peak-121711-1	1.45457094682879e-15	0.0951945624055901	0.565	0.065	4.8526523185534e-10	Erythrocyte-Prol	Peak-121711-1
Peak-60427-1	1.45954243334013e-15	0.119645389284481	0.565	0.068	4.86923789356334e-10	Erythrocyte-Prol	Peak-60427-1
Peak-10307-7	1.49557599639739e-15	0.346338659202579	0.913	0.286	4.98945090462118e-10	Erythrocyte-Prol	Peak-10307-7
Peak-5953-6	1.51822566730469e-15	0.229424480917828	0.826	0.175	5.06501337772187e-10	Erythrocyte-Prol	Peak-5953-6
Peak-325-8	1.60756765270434e-15	0.186153127575178	0.826	0.172	5.36307074889305e-10	Erythrocyte-Prol	Peak-325-8
Peak-95707-1	1.84040366341837e-15	0.184874543273383	0.739	0.138	6.13984427767657e-10	Erythrocyte-Prol	Peak-95707-1
Peak-104298-1	1.87245070433779e-15	0.104354824912054	0.565	0.062	6.24675769276948e-10	Erythrocyte-Prol	Peak-104298-1
Peak-27378-6	2.01091652623855e-15	0.219837506321098	0.826	0.185	6.70869905984549e-10	Erythrocyte-Prol	Peak-27378-6
